"code","outstanding"
"000001","19405572096.0"
"000002","9716935680.0"
"000004","126288096.0"
"000006","1349987456.0"
"000007","346448032.0"
"000008","2716233984.0"
"000009","2551430400.0"
"000010","525951360.0"
"000011","526475552.0"
"000012","1959267328.0"
"000014","242046224.0"
"000016","1596593792.0"
"000017","302984960.0"
"000019","416216416.0"
"000020","181165392.0"
"000021","1560423680.0"
"000025","392778304.0"
"000026","364769312.0"
"000027","4757389824.0"
"000028","478053696.0"
"000029","891660032.0"
"000030","1692411904.0"
"000031","4002887168.0"
"000032","644763840.0"
"000034","594368064.0"
"000035","2425794048.0"
"000036","1480828288.0"
"000037","338908160.0"
"000039","2301407232.0"
"000042","664131200.0"
"000045","457000864.0"
"000048","526759744.0"
"000049","384534848.0"
"000050","2457719040.0"
"000055","675854400.0"
"000056","903671552.0"
"000058","984711616.0"
"000059","1599442560.0"
"000060","3737314048.0"
"000061","1696932992.0"
"000062","1044929024.0"
"000063","4027373824.0"
"000065","973383360.0"
"000066","3225589760.0"
"000068","1006671488.0"
"000069","6898267136.0"
"000070","888594688.0"
"000078","2626441216.0"
"000088","2249135360.0"
"000089","2050742400.0"
"000090","1868459904.0"
"000096","510848000.0"
"000099","775770112.0"
"000100","18099621888.0"
"000151","307934688.0"
"000153","452943712.0"
"000155","1693522432.0"
"000156","1699875840.0"
"000157","7070417408.0"
"000158","1587803392.0"
"000159","480672864.0"
"000166","22535507968.0"
"000301","6608548352.0"
"000333","6890705920.0"
"000338","4976031232.0"
"000400","1008322048.0"
"000401","1591944704.0"
"000402","2988317440.0"
"000403","726940160.0"
"000404","693137792.0"
"000407","875761728.0"
"000408","1570209280.0"
"000409","423343232.0"
"000410","1680915968.0"
"000411","322687040.0"
"000415","5392955904.0"
"000417","779027456.0"
"000419","543582656.0"
"000420","2458028032.0"
"000421","574356928.0"
"000422","1057817216.0"
"000423","643976832.0"
"000425","8120092160.0"
"000426","1775205504.0"
"000428","1018926016.0"
"000429","1303329024.0"
"000430","331738816.0"
"000488","1675824512.0"
"000498","1457904128.0"
"000501","768293888.0"
"000503","955069248.0"
"000504","310668704.0"
"000505","622515392.0"
"000506","928670976.0"
"000507","902332160.0"
"000509","1073124800.0"
"000510","606664832.0"
"000513","584333056.0"
"000514","843770944.0"
"000516","2224164352.0"
"000517","2491986432.0"
"000518","1029535680.0"
"000519","1392558976.0"
"000520","1012083456.0"
"000521","875579776.0"
"000523","1325160192.0"
"000524","670000128.0"
"000525","990077568.0"
"000526","117798256.0"
"000528","2018438016.0"
"000529","569884352.0"
"000530","600038720.0"
"000531","909745472.0"
"000532","343549760.0"
"000533","684902400.0"
"000534","497140288.0"
"000536","2763082496.0"
"000537","2066602368.0"
"000538","1772695296.0"
"000539","2553896704.0"
"000541","1183737216.0"
"000543","2266863360.0"
"000544","974684480.0"
"000545","985403072.0"
"000546","696705216.0"
"000547","1588350720.0"
"000548","499184320.0"
"000550","518463168.0"
"000551","402632032.0"
"000552","3725778176.0"
"000553","2177071872.0"
"000554","362653184.0"
"000555","972187264.0"
"000557","1457916160.0"
"000558","1288684544.0"
"000559","3303778816.0"
"000560","2255272448.0"
"000561","602031680.0"
"000563","5113970176.0"
"000564","14715030528.0"
"000565","433592224.0"
"000566","1165909760.0"
"000567","1949930496.0"
"000568","1469345408.0"
"000570","555692480.0"
"000571","814000896.0"
"000572","1642253056.0"
"000573","632964800.0"
"000576","433852384.0"
"000581","824215872.0"
"000582","1761281024.0"
"000586","193440000.0"
"000589","1537838464.0"
"000590","239371424.0"
"000591","3602651904.0"
"000592","1915092480.0"
"000593","358483168.0"
"000595","1138656384.0"
"000596","408600000.0"
"000597","1406540032.0"
"000598","2974840832.0"
"000599","816745088.0"
"000600","1090050816.0"
"000601","1080460032.0"
"000603","666716352.0"
"000605","352658592.0"
"000607","885014144.0"
"000608","744759616.0"
"000609","291058272.0"
"000610","235504288.0"
"000612","1191420160.0"
"000615","762500288.0"
"000617","12642078720.0"
"000619","360000000.0"
"000620","4671726592.0"
"000623","1191079296.0"
"000625","8260727808.0"
"000626","506030112.0"
"000628","192082592.0"
"000629","9290600448.0"
"000630","10527676416.0"
"000631","2395279104.0"
"000632","465481600.0"
"000633","385103520.0"
"000635","303087616.0"
"000636","1157013120.0"
"000637","368014240.0"
"000638","310145600.0"
"000639","1079426304.0"
"000650","1331385856.0"
"000651","5514949632.0"
"000652","1474462336.0"
"000655","595340224.0"
"000656","5318280192.0"
"000657","1247309184.0"
"000659","1285702528.0"
"000661","399626816.0"
"000663","306301184.0"
"000665","1137110272.0"
"000668","146841888.0"
"000669","680408768.0"
"000670","722106688.0"
"000672","969395456.0"
"000676","1264528384.0"
"000677","863977920.0"
"000678","459611808.0"
"000679","356400000.0"
"000680","1307860864.0"
"000681","676093824.0"
"000682","1340594688.0"
"000683","3324816896.0"
"000685","1253962112.0"
"000686","2340452864.0"
"000688","1125392640.0"
"000690","2174471424.0"
"000691","323270016.0"
"000692","532832960.0"
"000695","221720368.0"
"000697","590896448.0"
"000698","785710464.0"
"000700","918015360.0"
"000701","667860544.0"
"000702","266634576.0"
"000703","3647353600.0"
"000705","281960736.0"
"000707","464145760.0"
"000708","5047157248.0"
"000709","10335412224.0"
"000710","326879296.0"
"000711","2285229312.0"
"000712","895734144.0"
"000713","614014976.0"
"000715","414641888.0"
"000716","710858112.0"
"000717","2423536128.0"
"000718","2282093056.0"
"000719","667147520.0"
"000720","1256531584.0"
"000721","512360320.0"
"000722","464158272.0"
"000723","4396235264.0"
"000725","36851556352.0"
"000726","588635392.0"
"000727","4529567232.0"
"000728","4363777024.0"
"000729","2509606656.0"
"000731","558829120.0"
"000733","553768256.0"
"000735","1150897536.0"
"000736","721266048.0"
"000737","1772269184.0"
"000738","1315152640.0"
"000739","1168888448.0"
"000750","5796204032.0"
"000751","1409868800.0"
"000752","263758496.0"
"000753","991481088.0"
"000755","1467310208.0"
"000756","455531936.0"
"000757","532714528.0"
"000758","1969313920.0"
"000759","655706048.0"
"000761","3708231936.0"
"000762","520800608.0"
"000766","966007680.0"
"000767","2912246528.0"
"000768","2772807680.0"
"000776","5904049152.0"
"000777","383410816.0"
"000778","3893624832.0"
"000779","464788896.0"
"000782","528139616.0"
"000783","5530073088.0"
"000785","5897944064.0"
"000786","1632447872.0"
"000788","595987456.0"
"000789","797407424.0"
"000790","622707584.0"
"000791","1600524800.0"
"000792","5291482624.0"
"000793","1961008640.0"
"000795","1133684096.0"
"000796","1330766848.0"
"000797","1570574080.0"
"000798","365828704.0"
"000799","324900480.0"
"000800","4622353408.0"
"000801","1022806656.0"
"000802","715465280.0"
"000803","458764224.0"
"000807","3467919360.0"
"000809","824791296.0"
"000810","1119083648.0"
"000811","745828480.0"
"000812","768160960.0"
"000813","2164600320.0"
"000815","695263040.0"
"000816","1436725504.0"
"000818","677367424.0"
"000819","348802720.0"
"000820","294031904.0"
"000821","604650752.0"
"000822","895091904.0"
"000823","536945600.0"
"000825","5696247808.0"
"000826","1425172992.0"
"000828","1039515648.0"
"000829","1024129664.0"
"000830","1904160512.0"
"000831","1061220800.0"
"000833","453702016.0"
"000837","1007403328.0"
"000838","1053765824.0"
"000839","3919826432.0"
"000848","1039518720.0"
"000850","943396864.0"
"000851","1132136832.0"
"000852","941001408.0"
"000856","227000000.0"
"000858","3881459456.0"
"000859","895854016.0"
"000860","741766976.0"
"000862","627967104.0"
"000863","1163615360.0"
"000868","733328448.0"
"000869","455094304.0"
"000875","2789966336.0"
"000876","4499677696.0"
"000877","1822140672.0"
"000878","2003588992.0"
"000880","162162000.0"
"000881","790344000.0"
"000882","2735351808.0"
"000883","6479756288.0"
"000885","642078272.0"
"000886","977836928.0"
"000887","1314370560.0"
"000888","526913088.0"
"000889","869849664.0"
