code,name,date,open,close,high,low,change,pct_change,volume,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60,volume_5d_avg
sh880695,PEEK材料,2025-07-17,1495.71,1523.92,1528.54,1489.41,1.88606080055626,1.962411096019645,7583147.0,6.475503758978229,8.904324957836685,14.907895431341945,24.39452439452441,100.0,100.0,95.51,94.34,8091108.6
sh880656,CPO概念,2025-07-17,2524.44,2615.55,2615.55,2523.44,3.6091172695726628,3.1958335799254334,28489049.0,5.7770857766813455,8.000247749607725,15.446239406779672,30.980519805698847,99.63,99.63,97.75,99.25,25499606.8
sh880703,人形机器人,2025-07-17,1853.56,1887.18,1889.51,1846.6100000000001,1.8138069444744231,1.8127083805392852,66613829.0,5.134790335429895,7.365833954406598,13.330530867163116,15.172375913143776,99.25,98.5,89.51,43.02,59042500.8
sh880685,液冷服务器,2025-07-17,1530.44,1552.78,1552.78,1527.89,1.4597109328036328,1.305479621861072,35950399.0,5.121417884681767,6.492651446050002,13.488229318170198,15.261509226680904,98.88,95.51,91.01,45.66,33050843.2
sh880960,仿制药,2025-07-17,1264.96,1301.2,1301.2,1264.96,2.8649127245130286,2.7666111185701725,21486613.0,4.9447934897450585,7.106110118778131,15.072030563244532,20.285460730661153,98.5,97.75,97.0,88.68,17656619.4
sh880652,创新药,2025-07-17,1149.79,1180.26,1180.34,1149.79,2.6500491394080683,2.682199002984076,55854875.0,4.8691201819700325,7.195015621594125,16.596526584079196,29.563642351391394,98.13,98.13,99.63,97.74,46723763.4
sh880681,减肥药,2025-07-17,1207.77,1236.96,1237.48,1207.75,2.41685089048412,2.2382385029920293,12013105.0,4.76230806365554,7.484163603659977,15.028595341051766,29.878202435951295,97.75,98.88,96.63,98.49,10810607.8
sh880674,英伟达概念,2025-07-17,1354.63,1381.56,1382.01,1352.66,1.9879967223522168,1.809874723655125,24686370.0,4.692188778757833,6.078824315297249,13.836063412544064,19.142110573564807,97.38,93.26,92.88,83.77,22977238.8
sh880623,肝炎概念,2025-07-17,1251.43,1272.8700000000001,1272.97,1251.43,1.7132400533789387,1.7384423556493278,36873065.0,4.3626912418214925,5.684110892470184,13.538609745872332,19.934985395269965,97.0,91.39,91.39,86.42,30207202.0
sh880675,减速器,2025-07-17,1741.13,1759.05,1764.7,1731.22,1.0292166581472861,0.9689065935011953,28771185.0,4.330883792103335,5.920288066091417,12.465474911769213,17.227016760521142,96.63,92.51,85.39,69.06,27559977.0
sh880920,免疫治疗,2025-07-17,1047.63,1074.15,1074.45,1047.63,2.5314280805246105,2.414118589285219,16079534.0,4.087328120003497,6.027105193023341,16.413785629131894,31.069027369345868,96.25,92.88,99.25,99.62,13910202.6
sh880660,工业软件,2025-07-17,1221.28,1245.79,1246.45,1214.8500000000001,2.0069107821302232,1.8667822332701034,7122229.0,3.99956589975623,6.316939331097404,11.566946974378256,12.164619872510517,95.88,94.76,74.16,18.87,6358536.4
sh880670,光通信,2025-07-17,1381.54,1417.32,1417.32,1380.6200000000001,2.589863485675404,2.2811410756940376,27295003.0,3.97769789450515,6.599878156095573,12.677086480212418,25.870995817088648,95.51,97.0,86.52,96.23,24338259.4
sh880633,汽车热管理,2025-07-17,1485.59,1501.13,1501.91,1480.48,1.0460490444873884,1.1011732377860683,23897416.0,3.883710147334618,4.966785539472762,10.542206381584274,16.331496679298496,95.13,86.14,57.3,58.49,21872325.6
sh880766,幽门螺杆菌,2025-07-17,960.82,974.03,974.88,960.82,1.374867300847185,1.6011599282346411,18823402.0,3.748242512036115,4.815556129476595,11.40174302902761,23.061276058117496,94.76,83.15,71.16,93.58,16267127.2
sh880631,一体压铸,2025-07-17,1075.0,1087.85,1087.85,1071.2,1.1953488372092937,1.3131548311990704,12602141.0,3.6027885183139263,4.13136911428269,11.283310316607832,15.276202990388787,94.38,68.16,67.79,46.04,10894509.6
sh880557,生物疫苗,2025-07-17,3125.39,3176.98,3178.16,3125.39,1.6506739958853185,1.7705039865970829,16216632.0,3.440214630842764,4.731576258056003,13.041683716130859,20.390314146045707,94.01,81.65,88.01,89.06,14575062.8
sh880794,远程办公,2025-07-17,1074.04,1101.3,1103.77,1074.02,2.538080518416445,2.06294483985765,11184984.0,3.3482855051519156,6.4006569730930885,12.876279889716802,10.710121034219311,93.63,95.13,87.64,13.21,9464538.4
sh880912,外骨骼机器人,2025-07-17,1000.98,1013.9,1014.7,998.45,1.2907350796219663,1.2199504831882368,6078841.0,3.32107081350439,4.1799387599926074,9.904284955502796,,93.26,68.91,47.19,,5948724.8
sh880688,新型工业化,2025-07-17,1361.97,1378.7,1378.81,1356.26,1.228367732035215,1.176366985403643,41293023.0,3.308231238994419,4.951052783825349,12.008384177302588,14.161981335960983,92.88,85.77,79.4,32.08,38956349.0
