code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880914,军贸概念,8.430036400269913,10.156415950564845,17.327231591937498,,100.0,99.63,99.63,
sh880592,互联金融,6.716824624243767,4.147627298940915,10.518655775995779,12.750377535462976,99.63,78.81,94.42,91.39
sh880644,DRG-DIP,6.470042133828469,6.375084727622982,6.537564870972656,4.054997208263544,99.26,95.17,67.29,26.22
sh880646,复合铜箔,6.322305769697234,12.659656494094262,17.633743655562697,14.938151969446523,98.88,100.0,100.0,96.63
sh880528,军工信息化,6.195819044200213,5.004833398785613,8.739754739410621,11.034003609589371,98.51,85.13,85.13,85.39
sh880967,数字货币,6.118728456530076,7.8945182293018945,17.085580027382917,24.054993075122976,98.14,97.4,99.26,100.0
sh880675,减速器,5.789816036931561,3.200468210941354,3.021488050577492,3.7270272947936833,97.77,64.31,26.39,23.22
sh880523,铜缆高速连接,5.693399300823598,5.854121696300729,13.357111082867302,9.193652056807045,97.4,93.68,97.03,75.28
sh880643,Web3概念,5.66094071608263,4.365422988592282,11.647155170099088,12.971214323556989,97.03,80.3,95.54,92.13
sh880762,信创,5.6327693370165965,4.259473583311446,8.260465664951289,6.49309206947819,96.65,79.55,81.78,54.68
sh880674,英伟达概念,5.541348362191134,5.095412263699561,9.903996200556353,2.9006566775451104,96.28,85.5,92.19,17.98
sh880916,国产软件,5.533220580216458,3.9537530156129153,7.20217055573551,6.803099673103286,95.91,75.84,71.75,58.8
sh880682,华为海思,5.5125702027140955,6.666125167526293,9.916801982021184,7.788530201177024,95.54,96.28,92.57,65.17
sh880742,固态电池,5.487790976037932,9.264375959381276,14.737755734655922,14.25043830407191,95.17,99.26,98.51,95.13
sh880555,财税数字化,5.480294808854103,4.256509419047272,7.030313623651607,4.504976746737532,94.8,79.18,70.26,31.46
sh880601,智慧政务,5.479535596398821,3.8362537991069923,8.363354426414382,6.526291477403956,94.42,74.72,82.9,55.06
sh880667,数据要素,5.471696235783452,3.1359766480175244,6.499613178068686,5.67042169275247,94.05,62.08,66.54,44.57
sh880703,人形机器人,5.4459887455508005,3.297048722277185,4.309848226566815,0.680835612241415,93.68,65.8,38.66,5.99
sh880657,数字水印,5.432704094140739,3.0745484526594424,8.100906915481909,6.83658766830626,93.31,60.59,81.04,59.18
sh880669,算力租赁,5.357888842472036,3.1905632454078514,6.205592738936838,1.561964493796708,92.94,63.94,62.08,10.49
