code,name,date,open,close,high,low,change,pct_change,volume,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60,volume_5d_avg
sh880523,铜缆高速连接,2025-01-20,1276.2,1309.51,1322.89,1276.2,2.610092461996548,5.11735807860263,19489950.0,6.030622737909197,4.893385238942005,3.3788317768076226,13.248062819980632,100.0,78.24,98.85,98.84,14380947.0
sh880707,宠物经济,2025-01-20,999.73,1004.03,1009.77,995.83,0.4301161313554614,0.9785778939957579,6347919.0,4.442849415387173,5.367937200906714,,,99.62,86.26,,,6261587.6
sh880709,人造肉,2025-01-20,1054.68,1061.57,1067.26,1048.76,0.6532787196116236,0.8646327211226934,7879914.0,3.344983012237024,4.563452976636051,-0.7182604629413225,2.003420708740089,99.24,71.76,87.74,74.9,7566028.2
sh880550,PCB概念,2025-01-20,1365.84,1377.31,1385.3500000000001,1358.96,0.8397762549054083,1.8306162433921136,26385864.0,3.167742805351237,8.081957436122789,0.6239178240317944,2.371785342649013,98.85,98.47,95.02,79.15,26945199.6
sh880656,CPO概念,2025-01-20,2054.13,2070.36,2087.69,2043.63,0.7901155233602556,1.4221120543959076,28347840.0,3.1626048263731388,5.36719425924983,0.05074155153168558,2.6663823583375823,98.47,85.88,91.19,80.31,28586796.6
sh880719,地摊经济,2025-01-20,1971.69,1997.2,2010.16,1959.76,1.2938139362678713,1.7930500198774846,12453035.0,2.984020254417774,4.524948449291899,-1.0454342763712043,13.193645467890104,98.09,70.61,86.21,98.46,11260370.4
sh880659,毫米波雷达,2025-01-20,1296.8,1305.5,1312.53,1292.24,0.6708821714990783,1.528172026286101,23923546.0,2.6885441902904095,7.614188091960461,-0.9942287712060516,0.4493482910915114,97.71,97.71,86.97,63.32,24105004.8
sh880585,风沙治理,2025-01-20,814.85,830.63,832.91,803.74,1.936552739768052,1.6745210845216851,5300025.0,2.5443816202069147,3.953494193031637,-5.763361809786383,-4.000046229947762,97.33,59.92,23.75,27.03,4542083.8
sh880704,工业大麻,2025-01-20,727.01,730.44,734.33,723.22,0.4717954361013003,1.0891678314903785,14709592.0,2.5308460016002066,2.858591263694499,-4.626111481060747,-2.7428632296548683,96.95,31.68,41.76,39.0,15441752.6
sh880941,跨境电商,2025-01-20,1122.06,1127.21,1135.1000000000001,1113.02,0.4589772382938605,0.9538224546822516,92593536.0,2.4792261396076043,4.909442882936554,-0.9977427826132645,10.859666204427665,96.56,79.39,86.59,96.53,109643547.2
sh880968,胎压监测,2025-01-20,1899.2,1897.81,1908.29,1891.33,-0.07318871103623104,1.118381091420595,4749124.0,2.409950624612134,7.614273644338332,0.11341696295747994,0.7677808160989619,96.18,98.09,92.34,66.02,4886197.0
sh880969,无线耳机,2025-01-20,2128.39,2136.11,2150.42,2115.11,0.362715479775805,1.2240081884868248,32842652.0,2.379628653317112,6.500907404822209,-1.5903217038371387,8.320909524244179,95.8,94.27,82.38,94.59,35388631.0
sh880593,婴童概念,2025-01-20,2154.42,2171.69,2180.52,2135.29,0.801607857335152,1.268839065880778,33128428.0,2.2977893551775708,3.6720021768499755,-2.3757720697312634,4.7011349063244445,95.42,54.2,72.8,89.96,37623165.0
sh880791,网红经济,2025-01-20,964.02,964.15,973.28,949.9300000000001,0.013485197402543045,0.49300619124053036,39182699.0,2.281889162352546,5.110817970717463,-5.524580365104404,10.84859563802758,95.04,83.97,27.2,96.14,44669700.6
sh880670,光通信,2025-01-20,1138.57,1143.14,1151.73,1131.17,0.4013806792731377,1.2094060983815602,22572260.0,2.2797630764275434,4.653440873012249,-1.556983172869908,-0.1388973819153816,94.66,73.28,83.14,58.3,23871681.4
sh880513,海峡西岸,2025-01-20,1456.23,1466.67,1471.88,1445.51,0.716919717352345,1.1845463953087387,33578253.0,2.261840848399488,4.499401504787959,-2.00575937568902,2.005800407558622,94.27,69.85,77.78,75.29,33976843.4
sh880715,磷概念,2025-01-20,1785.77,1783.69,1791.94,1769.17,-0.11647636593737867,0.10494887250116491,12510125.0,2.241800318701359,2.9879787983417394,-2.117139611583352,-3.007612833061446,93.89,35.11,75.86,36.68,11539040.6
sh880692,短剧游戏,2025-01-20,1053.59,1058.01,1069.06,1042.4,0.41951802883475287,1.1636579209056919,23725710.0,2.2380055080446493,6.208841953099897,-8.212237674269307,4.1656000787634095,93.51,92.75,5.36,88.42,29752099.6
sh880741,代糖概念,2025-01-20,859.36,863.71,864.94,853.75,0.5061906535095911,1.127529037092545,3370660.0,2.23234893768125,2.2517136464264897,-1.583847039117603,-3.7509611420038502,93.13,22.52,82.76,29.34,2613328.4
sh880618,化肥概念,2025-01-20,833.79,832.61,836.21,825.16,-0.14152244569975053,-0.07081132981276994,15581609.0,2.1143775218612326,2.9184177997527927,-1.4277765281115795,-1.016453469018963,92.75,32.82,84.29,50.19,13859645.6
sh880596,体育概念,2025-01-20,1373.14,1376.52,1388.78,1359.91,0.24615115720173336,1.1916401408502475,25180069.0,2.097549397733345,3.260168334508573,-3.9480845719070623,4.334775984780159,92.37,43.89,52.11,89.58,25408452.6
sh880617,IP经济,2025-01-20,989.83,992.51,1002.0,980.84,0.270753563743264,1.0106047344745406,46210144.0,2.083826176394954,4.774723418630189,-3.816298248844363,,91.98,75.57,54.79,,56308662.2
sh880602,免税概念,2025-01-20,1107.95,1116.28,1130.91,1100.54,0.751838981903509,0.7663907419276139,23425773.0,2.044957994716201,1.8354984673770058,-2.150226593385396,12.760111519657347,91.6,17.94,74.71,97.68,25298621.8
sh880563,食品安全,2025-01-20,2399.98,2413.86,2416.62,2378.59,0.5783381528179447,1.1523827083927074,7350650.0,1.9405298343264876,4.913942976356056,-3.970306246668198,1.6101127710356433,91.22,79.77,51.72,71.81,8276858.0
sh880740,新型烟草,2025-01-20,980.61,989.07,994.77,975.46,0.8627283017713501,1.8001605632063322,11344850.0,1.9228985686462474,4.327876460908842,-3.5317181647939955,0.179276815557583,90.84,66.03,59.39,61.78,10890502.2
sh880761,锂矿,2025-01-20,636.86,637.14,641.75,634.83,0.0439657067487317,0.3512308831173039,8099814.0,1.9097888675623675,3.1304629329879985,-0.3191589223693003,-1.414247694497739,90.46,38.93,89.66,48.26,8184827.6
sh880635,先进封装,2025-01-20,1137.08,1137.19,1143.59,1126.23,0.009673901572459927,0.5980025300106995,30020899.0,1.8859641263640814,5.696626080490752,-3.933262935586057,-1.008896394435832,90.08,90.08,52.49,50.58,31343629.6
sh880569,3D打印,2025-01-20,2449.4,2453.51,2465.29,2430.8,0.1677961949865325,1.1235445646573972,18886116.0,1.8768347928630469,6.275123016148054,0.007336966490445462,4.047818969831152,89.69,93.13,90.8,87.64,20678537.0
sh880506,5G概念,2025-01-20,2079.35,2092.13,2105.26,2066.7200000000003,0.6146151441556352,1.2990848787101106,107259236.0,1.8618329121812938,4.971275181254864,-3.0029208586397127,0.43348855071769776,89.31,80.53,64.37,62.93,110864555.6
sh880755,钠电池,2025-01-20,688.87,694.75,698.16,687.08,0.8535717914846046,1.571637426900585,19150922.0,1.859046725409419,3.777671556179607,-2.337709803480559,-0.2469596680402586,88.93,57.63,73.18,57.53,19492168.0
sh880584,石墨烯,2025-01-20,1533.48,1544.68,1553.2,1523.3,0.7303649216161963,1.3709238149613778,24999991.0,1.8515099564816007,3.5780382479950745,-0.5613492983133739,-0.9496694432154063,88.55,51.91,88.51,51.74,24968737.0
sh880720,抖音概念,2025-01-20,948.41,946.71,953.8100000000001,936.74,-0.1792473719172016,0.4147221043699689,95938953.0,1.850437327193899,5.9338913257541925,-5.127871086703806,11.51540137817304,88.17,91.22,34.1,97.3,111773675.4
sh880633,汽车热管理,2025-01-20,1208.02,1216.6000000000001,1221.1200000000001,1201.09,0.7102531415042925,1.652713022843888,22112082.0,1.8186078820290108,8.525195579065702,2.648475797537997,8.415912169387617,87.79,98.85,98.08,94.98,25645530.6
sh880760,预制菜,2025-01-20,1013.24,1016.5,1024.77,1003.66,0.32174016027791946,0.7043858171767114,30569024.0,1.8016845099197765,3.352210913749465,-3.2991495271980087,6.299541965574207,87.4,46.95,60.92,93.05,34223948.0
sh880971,降解塑料,2025-01-20,923.87,929.46,932.39,916.34,0.6050634829575624,1.2031663418299088,11398408.0,1.7983878033821066,2.4853349799320634,-3.101510618112824,1.071106229814811,87.02,26.34,63.6,68.73,11476378.6
sh880610,中俄贸易,2025-01-20,1104.93,1112.6100000000001,1117.53,1097.04,0.6950666558062559,1.3546012717037037,31415283.0,1.785763294879672,3.9152322334195855,-1.8516231474947076,2.0134782010727603,86.64,58.78,80.08,75.68,32309767.6
sh880961,小米概念,2025-01-20,1754.73,1761.71,1770.46,1743.89,0.3977819949507912,1.213963161704723,90557910.0,1.7817629284694991,5.374253825081032,-2.1049238993326336,4.201884460006977,86.26,87.02,76.63,88.8,99316302.0
sh880657,数字水印,2025-01-20,914.07,911.15,917.4,900.98,-0.3194503703217557,0.5406896551724216,7329233.0,1.781724754244851,5.607519964764651,-9.47162387727526,1.6795000557973339,85.88,88.55,2.68,72.97,9404124.0
sh880572,新零售,2025-01-20,1109.56,1115.23,1123.66,1099.1000000000001,0.5110133746710473,0.8582487745762979,88639954.0,1.76849021307659,3.2047010919859398,-2.402247348338993,8.202272264211352,85.5,42.75,72.41,93.82,99007067.6
sh880942,虚拟现实,2025-01-20,874.15,875.52,881.89,866.44,0.15672367442658633,1.0619632468371831,86654700.0,1.7525916972711553,5.27758738862234,-4.8461596982969475,1.2325694332030679,85.11,85.11,37.93,69.88,94136922.0
sh880683,星闪概念,2025-01-20,1181.73,1178.52,1188.1200000000001,1171.92,-0.2716356528140977,0.6035255452644162,14270918.0,1.7518109529195414,6.100327703554331,-3.318375349680469,0.001697072549844414,84.73,91.98,60.54,59.46,16502147.0
sh880906,智能家居,2025-01-20,2730.35,2743.77,2760.12,2714.27,0.49151207720622164,1.1062183325656338,51163042.0,1.748485140657574,3.7404909181651735,-2.637247213538252,3.3816625345701956,84.35,56.11,67.82,83.4,55755413.2
sh880930,汽车电子,2025-01-20,1905.3,1914.0,1924.49,1895.8400000000001,0.45662100456621246,1.2601974415135109,70807699.0,1.7316707593200809,6.035843882440939,-1.797808151705449,2.222293432457967,83.97,91.6,80.84,78.38,74174588.2
sh880636,热泵概念,2025-01-20,1169.6100000000001,1177.29,1180.95,1164.4,0.6566291327878383,1.393494156453734,13540308.0,1.7062045372082224,6.575838500882614,2.829966197625966,8.529997418783886,83.59,94.66,98.47,95.37,14266154.2
sh880964,特高压,2025-01-20,1971.63,1989.91,2001.6000000000001,1967.79,0.9271516460999261,1.4271806555856248,19186741.0,1.6967256261786412,3.0235411672732804,-2.4152101845858143,-3.1820017418296986,83.21,37.02,72.03,33.2,19933604.0
sh880757,冷链物流,2025-01-20,1044.4,1049.29,1054.46,1038.2,0.46821141325161547,1.0049574048226484,33961619.0,1.6694765808189516,3.5742488253642346,-2.540310595928086,2.889725637857654,82.82,51.53,70.5,80.69,37302041.6
sh880568,生物质能,2025-01-20,1296.75,1308.15,1313.09,1287.66,0.8791208791208861,1.3402021923538676,9383367.0,1.6623146507507292,2.3207246104749446,-3.8690476190476053,-1.7337349669102942,82.44,23.28,53.26,45.17,9519665.0
sh880631,一体压铸,2025-01-20,901.91,904.62,908.21,895.4,0.30047343970019585,1.425031673599353,10851747.0,1.6552607625661686,6.460951842960028,0.23379242335264117,3.966165197503768,82.06,93.89,93.1,86.87,13747609.6
sh880903,水产品,2025-01-20,489.98,493.03000000000003,493.7,481.11,0.6224743867096639,1.016247669391701,1609962.0,1.6493825124219041,5.271811077422384,-4.382987801330406,1.939419001343956,81.68,84.73,45.59,74.52,2007381.2
sh880552,车联网,2025-01-20,1244.21,1246.18,1253.03,1233.8500000000001,0.1583334003102392,1.3418125040661089,9288779.0,1.633568486726733,5.522625660479608,-5.651749278862528,-5.521565416486607,81.3,87.79,24.9,15.44,9236957.0
