code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880602,免税概念,14.455608366925388,3.6288528757546956,-2.2321581526021816,4.199302550619843,100.0,98.5,96.63,53.82
sh880637,EDA概念,14.062976717762044,0.32479850463138504,-0.7588309061118403,12.132965134919903,99.63,97.0,97.38,95.04
sh880726,MCU芯片,13.934389595298224,-2.5311373868491804,-7.892906500943919,11.617189894478752,99.25,91.39,76.78,93.89
sh880758,汽车芯片,13.778161643073595,-2.2167704598351934,-8.16249364889934,11.475574424141598,98.88,93.26,74.91,93.51
sh880672,存储芯片,12.143915914297242,-4.136845338657668,-11.54437555358725,7.499741655471737,98.5,84.64,52.43,78.24
sh880765,海洋经济,11.847972886884284,-8.692350897630597,-5.3428941125727825,,98.13,28.46,88.76,
sh880754,培育钻石,11.684091195364665,-4.647911558480667,-8.35650277516512,4.483802924782876,97.75,80.9,73.41,56.87
sh880528,军工信息化,11.403973140898827,-5.128286247587721,-14.267948397241192,6.133427711909389,97.38,76.03,36.33,69.85
sh880952,芯片,11.106989027572546,-5.2719894067001505,-10.427840016221424,5.782447318007655,97.0,74.91,60.3,66.03
sh880563,食品安全,10.968385822876293,-2.524221950150407,-5.717836257309939,11.676999272676891,96.63,91.76,87.27,94.27
sh880546,卫星导航,10.643555054490793,-5.734650834243816,-13.558326788558517,8.342149566241353,96.25,71.16,42.32,83.59
sh880660,工业软件,10.334814328370445,-6.576135119637183,-12.512611058678036,15.540584101605305,95.88,59.93,48.69,97.71
sh880662,时空大数据,10.32422110751634,-6.947168142331417,-17.559644829549235,3.634859707984406,95.51,55.81,5.62,47.71
sh880943,量子科技,10.193321616871721,-5.721247759631066,-12.943655860658277,6.705565938824809,95.13,71.91,47.57,73.28
sh880695,PEEK材料,10.115699671586565,-9.323127137084242,-13.225549763138922,6.804638944063557,94.76,21.35,44.19,73.66
sh880967,数字货币,10.078770840871787,-6.264924599294874,-15.066978067702873,5.790695030528381,94.38,64.79,29.96,66.41
sh880903,水产品,10.060362173038229,-0.2646747441477415,-2.3401804569015083,7.50195473468438,94.01,95.88,96.25,78.63
sh880613,电子身份证,10.060124441395345,-6.864215449121113,-16.845204670784565,0.7694656488549612,93.63,57.3,13.11,24.43
sh880609,跨境支付CIPS,9.903530789155024,-3.9404240406518354,-11.025922343333106,7.082695252679927,93.26,85.39,55.81,75.19
sh880608,第三代半导体,9.876513807352016,-6.492835282433774,-11.237770915702283,2.8662207357859515,92.88,60.67,54.31,41.6
sh880635,先进封装,9.741212139109567,-6.352899670721046,-11.300203678951048,2.5319133281830775,92.51,63.3,53.56,39.31
sh880732,AI智能体,9.657144058354872,-7.953593012484017,-17.112235737155302,,92.13,39.7,8.99,
sh880728,航运概念,9.626875158911785,1.1272849876130753,0.5795432178863802,7.826848081777471,91.76,97.38,98.13,80.92
sh880683,星闪概念,9.609674105892218,-8.41058052434458,-14.266619921994838,4.775463934089674,91.39,32.58,36.7,58.02
sh880916,国产软件,9.551783919875433,-7.469396320563337,-16.20932255639732,8.866551811168799,91.01,48.31,21.35,85.11
sh880950,军民融合,9.501675894890838,-5.262989249723615,-11.0763562539945,5.2779632349668315,90.64,75.28,55.43,61.83
sh880548,商业航天,9.427456138132207,-6.275138464649077,-11.275702723394954,8.351351125729401,90.26,64.04,53.93,83.97
sh880650,血氧仪,9.29860288894151,-7.938280863557312,-13.648779100657771,2.38864241348713,89.89,40.07,41.95,37.4
sh880762,信创,9.290513003114565,-7.834738251148654,-17.088998965052625,10.08677164537708,89.51,41.2,9.36,89.69
sh880555,财税数字化,9.269445700862299,-8.047811699992025,-17.257304481849978,14.155494752566566,89.14,38.58,7.87,97.33
sh880716,光刻机,9.266782646840376,-4.822714128159911,-4.914370488617436,10.232787363402762,88.76,79.78,90.26,90.84
sh880667,数据要素,9.233676451601536,-7.501018755031663,-16.28572199584425,8.945963663607404,88.39,47.57,18.73,85.88
sh880901,信息安全,9.228880705278431,-7.964268923366246,-17.596650198285214,7.6351429563606965,88.01,39.33,5.24,79.77
sh880552,车联网,9.11603655133928,-7.5876175988421,-14.989572648411432,5.403994036739745,87.64,45.69,30.71,62.98
sh880760,预制菜,9.101099330529316,3.720975705137608,-0.05840626265860571,7.153967356173241,87.27,98.88,97.75,75.57
sh880689,华为算力,9.092387146136204,-9.17292394913487,-18.667065962195263,12.416722513501789,86.89,22.85,2.25,95.8
