code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880707,宠物经济,8.767848339920615,10.871615843713922,17.838035361248792,22.05454192546583,100.0,100.0,99.25,100.0
sh880745,NMN概念,5.724085641044163,5.930615345657131,9.017803292603933,10.995542347696885,99.63,97.38,58.8,95.86
sh880754,培育钻石,5.67795092244312,7.294530439340607,13.687885382662323,10.43944549048106,99.26,99.25,97.0,95.11
sh880666,可控核聚变,5.0830419903468815,6.741446494132486,14.05352501363797,17.47256742464305,98.88,98.5,97.75,99.62
sh880929,维生素,5.025340260733757,5.170157485844151,9.587984088762358,7.870906912333764,98.51,95.88,67.04,89.1
sh880530,合成生物,4.904662184503472,5.482083487255274,10.35042462537319,11.185094328602307,98.14,97.0,77.15,96.24
sh880768,新冠药概念,4.633940897072941,4.3020408163265245,8.50165593041452,7.599672770145083,97.77,89.89,47.94,88.35
sh880617,IP经济,4.551230218320446,4.3974739756048375,9.070094396465155,1.7747708915084592,97.4,91.76,59.55,57.14
sh880593,婴童概念,4.466620700347201,6.343523783022764,12.288572268048936,11.507642729608492,97.03,97.75,92.88,96.62
sh880973,医美概念,4.407394503309892,5.162821902255255,10.286413231728432,7.4655359723232895,96.65,95.51,76.03,87.97
sh880652,创新药,4.354141220744068,4.163875006864726,6.474755526614184,7.321820609736784,96.28,88.39,17.98,86.84
sh880741,代糖概念,4.2480927457235085,4.832497638253042,10.290519877675841,12.60635391460465,95.91,94.01,76.4,97.74
sh880709,人造肉,4.151329627403855,3.9687672825098774,6.349297665276388,2.838043317015293,95.54,85.77,17.23,63.16
sh880623,肝炎概念,4.055143119909732,4.626531293197966,5.410363540315988,1.206196975285856,95.17,93.63,12.36,54.89
sh880572,新零售,4.046666056435311,5.441758093487281,8.063540352272147,9.753871001720448,94.8,96.63,37.83,93.98
sh880760,预制菜,3.9368892738124384,3.5926402011653202,1.9549177678662044,8.860010648577221,94.42,81.27,1.12,92.11
sh880516,ST板块,3.8107332155477014,7.251155096685857,9.008371791006686,9.293511747677785,94.05,98.88,58.05,93.61
sh880960,仿制药,3.68494173463505,2.9484075596343917,3.2312701131038457,3.6447803495512465,93.68,67.79,5.99,67.67
sh880598,博彩概念,3.674077903375439,3.8365524191684486,9.662536250988651,0.8399852744430891,93.31,85.02,68.16,53.76
sh880557,生物疫苗,3.6417106112684783,4.331671544336713,6.542748076959959,3.9863253239872165,92.94,90.64,19.1,69.17
sh880766,幽门螺杆菌,3.6174294327212975,4.202838638555884,6.880645534326146,1.1626492836815716,92.57,89.14,21.35,54.14
sh880920,免疫治疗,3.6108751062021938,4.8831764537244915,9.346318135966825,4.232006552784329,92.19,94.76,64.04,70.68
sh880596,体育概念,3.5545677921647645,4.517621160718632,10.76789049753042,4.484867055726549,91.82,92.88,83.15,72.56
sh880764,鸡肉,3.2641665517716856,3.4388702827745643,2.2270498982017495,14.725367304476578,91.45,77.9,1.87,99.25
sh880681,减肥药,3.2591953668905216,3.5601371739287124,7.380830343413636,8.548051078895957,91.08,80.15,28.46,90.98
sh880729,CXO概念,3.2406754150792416,3.008118635318402,6.0062138798113285,-3.8461538461538547,90.71,70.41,14.98,31.58
sh880903,水产品,3.210081810796006,4.377567593388743,10.090892601624368,12.42230911710227,90.33,91.39,72.66,97.37
sh880606,辅助生殖,3.1305519107281743,4.043906610592418,6.913280046224957,-1.3111839546641524,89.96,86.52,22.1,43.23
sh880621,NFT概念,3.03030303030305,4.118008604794099,10.43130638187726,-0.841869673753981,89.59,88.01,77.53,45.49
sh880718,小红书概念,2.991890114707396,4.047608063846475,10.818273832335912,-3.5716423398233443,89.22,87.64,83.9,32.71
sh880724,地下管网,2.9615644464188184,3.8137807472658602,8.79016643523498,4.976551515894956,88.85,84.64,52.06,74.06
sh880797,虫害防治,2.924031271244054,2.916160388821387,12.393634296849608,12.26029492182068,88.48,67.04,93.26,96.99
sh880791,网红经济,2.9220779220779036,5.1484966062306015,9.406989997549985,2.271301542413884,88.1,95.13,64.79,60.9
sh880910,草甘膦,2.884703181456505,2.1405955595268145,8.559572227842338,5.634312117052254,87.73,49.06,49.81,78.57
sh880704,工业大麻,2.788267154899504,4.261026566933213,9.077662043283507,6.453524353791651,87.36,89.51,60.3,82.33
sh880968,胎压监测,2.7242852925376093,3.7197028928850573,12.654915635664942,1.93102852120961,86.99,83.15,94.01,58.27
sh880567,海南自贸,2.642311710542744,3.267937803764376,2.9634540938075826,0.153952233198984,86.62,74.16,5.62,51.5
sh880610,中俄贸易,2.628253117277257,5.280021139903224,13.231610920652969,8.624009542472532,86.25,96.25,95.13,91.35
sh880624,新型城镇,2.6263513372226654,4.19174388858814,9.127495886512204,4.590303676078844,85.87,88.76,60.67,72.93
sh880626,粮食概念,2.6078573150156714,1.2738929263854004,2.2652477839967267,-1.5596637878209751,85.5,28.46,3.0,42.11
sh880605,装配式建筑,2.604190758129432,4.409466608928159,8.499148911193299,5.359653455941027,85.13,92.13,47.57,75.94
sh880974,烟草概念,2.567767082029171,3.79866365451047,9.93600496262208,6.638586322498252,84.76,84.27,71.91,83.46
sh880586,土地流转,2.5375838685371965,2.3127388592039777,4.60177153105672,4.212704663968214,84.39,56.18,9.36,70.3
sh880614,绿色建筑,2.495674785293245,3.57187722457184,8.869228399137285,2.792785304629697,84.01,80.52,53.93,62.78
sh880639,光热发电,2.4817413889649975,1.9859854637720664,8.143175046203744,7.2866515329159,83.64,47.19,39.7,86.47
sh880651,旅游概念,2.467947553844474,4.044697270036779,6.046083295744986,5.640065527732263,83.27,86.89,15.36,78.95
sh880926,垃圾分类,2.421898761677177,3.9145844721482748,11.873416039410367,6.651826515007553,82.9,85.39,92.13,83.83
sh880599,民营医院,2.3432077820497277,2.9962027772388433,6.217557339187296,0.020994719020661634,82.53,70.04,16.1,50.0
sh880941,跨境电商,2.3237030635403944,6.434566366179673,13.55736220790047,7.400028823574312,82.16,98.13,96.25,87.59
sh880955,乡村振兴,2.308880690195192,3.3801893248175174,7.788926049795619,6.66480348317251,81.78,76.78,34.46,84.21
sh880913,基因概念,2.3016158282549437,3.482996120363757,6.892033766655015,-1.7106058346610609,81.41,79.78,21.72,41.35
sh880719,地摊经济,2.265821600405782,2.981914118096296,5.699771968401324,3.609276149041052,81.04,69.29,13.48,67.29
sh880971,降解塑料,2.2483960732782027,4.497965793735426,11.05129496704864,8.936402380021002,80.67,92.51,86.52,92.48
sh880558,节能环保,2.229570994628105,3.6864471088177364,10.474357834140523,6.804760322826486,80.3,82.4,77.9,84.59
sh880964,特高压,2.218892759644442,3.11839323467229,9.63591730501907,5.0207525698717115,79.93,71.54,67.79,74.44
sh880585,风沙治理,2.1829848074486513,3.7765028096519826,8.96301254400318,3.819399336270135,79.55,83.9,56.55,68.05
sh880696,小米汽车概念,2.180985660922996,3.328789344218608,14.862348041041606,5.796672020959703,79.18,74.91,98.5,80.45
sh880706,分散染料,2.1666520172277437,2.9022929146870435,8.359099454638663,5.242428358006257,78.81,66.67,43.82,75.56
sh880542,水利建设,2.159683045519145,3.62337832525228,9.92053379051503,5.121084777808149,78.44,81.65,71.54,75.19
sh880743,物业管理概念,2.1359980683147928,2.4709762778823308,4.528908024673739,1.1626837389848488,78.07,59.93,8.99,54.51
sh880744,汽车拆解,2.103333176625455,2.6942681785082634,11.779964590109948,5.496726057473733,77.7,64.04,91.39,77.44
sh880590,网络游戏,2.056362488159147,2.9470314689769683,8.033692373256685,-6.93832599118942,77.32,67.42,37.45,14.29
sh880940,PPP概念,2.0531400966183666,3.3428454953118747,7.602430633126311,3.1304198873733924,76.95,75.28,32.58,65.04
sh880602,免税概念,1.9904135901457343,2.215569919819149,2.2327224552881386,5.64296796568402,76.58,52.43,2.62,79.32
sh880710,种业,1.960089959120781,-2.537561612922379,-0.7180709480714254,5.650186687266645,76.21,0.0,0.0,79.7
sh880537,核电核能,1.9153631659782677,3.4471015589526255,10.129549958911399,10.857453348147317,75.84,78.28,73.41,95.49
sh880563,食品安全,1.9084858138598282,2.3829768274254093,7.471499561531725,5.549133390494876,75.46,56.93,30.34,77.82
sh880692,短剧游戏,1.8884993780391213,1.8913799440219314,6.956315289648618,-8.139337298215798,75.09,45.32,22.85,9.77
sh880795,口罩防护,1.8850275661277394,4.0461294179418905,11.526021359552473,5.105985953745784,74.72,87.27,89.89,74.81
sh880905,超导概念,1.8651695498618004,4.332653090146388,12.730787635180407,13.123129698562153,74.35,91.01,94.38,98.5
sh880715,磷概念,1.8049405111241645,3.1767403129697502,8.479962705446953,7.218192136744461,73.98,72.66,46.82,85.71
sh880611,核污染防治,1.7951488357800693,2.263470787982591,6.8015891174574294,3.0588282520121357,73.61,53.93,20.6,63.91
sh880796,医废处理,1.7793875386455493,3.6947200220717624,10.557795781294054,4.418540041210384,73.23,82.77,79.4,72.18
sh880977,BIPV概念,1.7750410650246407,3.415039105168871,8.104429483607522,1.2239975366087341,72.86,77.15,38.58,55.26
sh880936,猪肉,1.7661156141716594,1.3607407294786489,1.8454017720745508,6.615918504421803,72.49,30.34,0.75,83.08
sh880521,黄金概念,1.7633594506558659,1.4810457745860761,4.481402811045321,8.996530004148905,72.12,34.83,8.61,92.86
sh880568,生物质能,1.7131892100830992,2.4080393069850325,7.337291036894045,9.817043633789147,71.75,58.05,27.72,94.36
sh880642,供销社,1.6932107181882428,3.3796669484694286,8.797848127457076,3.0332719363561633,71.38,76.4,52.43,63.53
sh880975,有机硅概念,1.6632954495845231,4.551746844157112,10.227201009782249,6.138571743275367,71.0,93.26,74.53,81.58
sh880731,新材料,1.661952530700428,2.9552005124007907,11.333006262445533,7.2753394818556805,70.63,68.54,88.39,86.09
sh880750,天然气,1.6574534648714057,2.7728277805249,7.734212250726169,7.385527252166613,70.26,65.17,34.08,87.22
sh880759,换电概念,1.6542931805508365,3.161235200781154,10.584848881329311,2.0459235193396763,69.89,71.91,80.15,59.02
sh880686,华为汽车,1.6533062549609845,3.044515160960626,15.153994459115715,3.4268751409675113,69.52,70.79,98.88,66.54
sh880627,超临界发电,1.6383830599902893,3.1635507264859086,8.376874503184073,9.29250168880884,69.14,72.28,44.19,93.23
sh880649,POE胶膜,1.6206145458032672,3.460299306824366,11.812851393515512,1.2793031415971434,68.77,78.65,91.76,55.64
sh880569,3D打印,1.608341780892375,2.212377936813481,11.42989487251782,2.1150389233602906,68.4,51.69,89.14,59.4
sh880519,碳中和,1.6051353226925746,3.1869533656116333,9.232456467568895,4.276821833513766,68.03,73.03,62.55,71.05
