code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880797,虫害防治,5.923081940936936,6.97076925972635,2.1147954829262128,8.270941685241295,100.0,67.04,95.51,89.73
sh880609,跨境支付CIPS,5.695175011364362,11.491330887613582,1.729238718279924,10.672569848441338,99.63,98.88,94.76,94.68
sh880967,数字货币,5.163452847243155,10.733051771657443,-1.55767999106875,6.88434228406285,99.25,97.75,85.02,81.75
sh880521,黄金概念,4.9928545106463496,13.644456118845394,3.126986369093876,13.143620936809896,98.88,100.0,96.63,97.72
sh880910,草甘膦,4.60380577608388,5.372946076495011,-1.7955176645352955,1.3991143832693176,98.5,29.96,83.15,31.18
sh880743,物业管理概念,4.5096964834347775,9.084317169819055,-0.2344435934318434,1.578682085762395,98.13,95.13,88.76,32.7
sh880745,NMN概念,4.427825617330261,8.007944327641447,1.2641746859566094,7.3938935773022685,97.75,85.02,92.88,84.41
sh880695,PEEK材料,4.26418995644291,11.19465707494738,-6.328130947849253,4.909618008185546,97.38,98.5,48.31,66.54
sh880587,聚氨酯,4.2398035556831415,8.15848894018898,-3.4610700831084085,6.4777868543420825,97.0,87.27,76.03,78.71
sh880643,Web3概念,4.22048417132217,8.292441293478436,-5.550867766084555,3.4491427050447054,96.63,90.26,57.3,51.33
sh880974,烟草概念,4.179548690844248,7.752117983454188,-3.6094955489614167,3.4654537578514333,96.25,80.9,74.16,52.09
sh880681,减肥药,4.089404331739388,9.522020740133641,3.2460912768674355,11.002918882748602,95.88,97.0,97.0,95.82
sh880624,新型城镇,4.087233800250534,7.277080716909823,-3.742904384274326,3.336423661360355,95.51,73.03,73.78,49.43
sh880768,新冠药概念,4.009933532977872,8.677402121651511,1.5836781281209689,5.329339102777464,95.13,93.26,94.01,68.44
sh880613,电子身份证,3.9021518965427715,8.491580726506909,-4.309630102040829,1.7107994746430322,94.76,92.13,69.66,33.46
sh880592,互联金融,3.8490412826817977,8.601973947735253,-3.5011602909981288,4.9265277847653,94.38,92.51,75.28,67.3
sh880571,碳纤维,3.839673773366159,7.716005497890888,-5.139148310081076,6.332608136243478,94.01,80.15,62.55,77.95
sh880555,财税数字化,3.80945395381711,7.718281013236283,-5.200854935057819,14.995457265051959,93.63,80.52,61.05,98.86
sh880724,地下管网,3.7413643568501964,6.845180036346088,-3.4943245047852067,4.123350309676521,93.26,63.3,75.66,60.46
sh880719,地摊经济,3.7154592022479394,12.471641459074734,1.9059278740062302,1.2762868015221418,92.88,99.63,95.13,30.42
sh880929,维生素,3.610379591945301,7.342363445957112,0.8335868179376371,2.4635822564203824,92.51,73.78,92.13,39.92
sh880605,装配式建筑,3.5718914176909866,6.7210403591129175,-1.909060009819108,3.2497217363650854,92.13,61.42,82.02,49.05
sh880670,光通信,3.5451184318498363,7.458687768517547,-9.172961519175715,-1.7583148170827845,91.76,77.53,15.36,8.75
sh880661,6G概念,3.544756323509013,6.644361875619986,-7.694434540916928,0.7648988474888707,91.39,59.93,32.21,24.33
sh880612,镍金属,3.5431084664639956,7.378192745224288,-8.627656902810433,-0.36719401535990626,91.01,75.28,22.1,19.77
sh880523,铜缆高速连接,3.4650360614612685,7.857149343043157,-11.174425126191812,-9.292788905773918,90.64,82.4,3.75,0.76
sh880922,钛金属,3.432503444519197,5.409200375525525,-9.866951471491593,4.311542687261682,90.26,31.09,10.11,60.84
sh880647,数据确权,3.430063229058211,6.2627421492856605,-4.9032938368898655,7.732570476497336,89.89,49.44,65.17,86.31
sh880656,CPO概念,3.4036093077237872,8.454293990098517,-8.747559453317555,-3.606136130914439,89.51,91.76,20.22,4.94
sh880740,新型烟草,3.3985400856097137,8.79569190600522,-9.913521304386997,1.1101337620188723,89.14,94.01,9.74,27.76
sh880731,新材料,3.3733046161010583,7.448192406595067,-4.529326380302134,5.404202279202286,88.76,77.15,67.79,69.96
sh880660,工业软件,3.3478101813201766,6.443042499541107,-5.176820924167968,15.263741552110144,88.39,53.93,61.42,99.24
sh880920,免疫治疗,3.337475367448639,6.634027561910694,-2.2951675685939366,6.085791230172544,88.01,59.55,79.4,74.9
sh880953,租购同权,3.3045839322791704,6.764497119558932,-1.7499354407498169,2.105927855395051,87.64,62.17,83.9,36.88
sh880614,绿色建筑,3.2836021204732946,7.025310587799005,-3.862169477409949,1.1954985261727558,87.27,68.54,73.03,29.66
sh880633,汽车热管理,3.2777268855567865,8.219731734631154,-9.854462563563038,5.642774946572393,86.89,89.14,10.49,72.24
sh880716,光刻机,3.274776813263669,8.145612943372749,0.4852425768115287,8.17409207344808,86.52,86.52,91.39,88.59
sh880549,可燃冰,3.2688142416519295,4.499690210656748,-13.701687847371014,0.9335587438847437,86.14,16.85,1.12,25.48
sh880542,水利建设,3.236304323959782,5.553951989224037,-4.9795016889453425,4.6120227263697355,85.77,34.46,63.67,64.64
sh880734,工业气体,3.2241706664150938,4.852659319597508,-0.5623338559062052,4.419869730155335,85.39,21.72,87.64,61.6
sh880569,3D打印,3.2122205990665176,7.518216924465992,-6.239765195565639,3.379647932961327,85.02,77.9,50.19,50.19
sh880659,毫米波雷达,3.1705137391612404,7.383478304590496,-10.415050019924077,-1.8422060513213268,84.64,76.03,7.12,8.37
sh880636,热泵概念,3.119094312711712,6.285488524228655,-8.067964174170116,-1.7412871934697538,84.27,50.19,28.84,9.51
sh880704,工业大麻,3.117480059483557,7.3992199490291455,-1.918526900524642,4.424730299545465,83.9,76.4,81.65,61.98
sh880899,钴金属,3.112540714411227,6.2353793026623805,-7.955313193707159,1.115941260669051,83.52,48.69,29.96,28.14
sh880513,海峡西岸,3.112483809903366,8.316994718150173,-2.7896753832281296,5.845895804782253,83.15,90.64,77.9,73.38
sh880717,C2M概念,3.1062148535970557,10.968356246576061,0.3775588460857682,16.50119821978775,82.77,98.13,91.01,99.62
sh880722,华为鸿蒙,3.0840584468888377,7.815478132458753,-6.116971568268303,7.562442183163731,82.4,81.65,52.06,85.93
sh880652,创新药,3.0724221806238905,8.004557253432608,2.3849819623212865,8.632320105851354,82.02,84.64,95.88,90.87
sh880916,国产软件,2.9975071441600276,6.429319371727749,-6.211071227542431,7.188053657301952,81.65,53.56,50.94,83.27
sh880616,大飞机,2.980344185270667,5.287942241003574,-5.756085149690449,3.8998803201436116,81.27,27.34,54.68,58.94
sh880798,超级电容,2.979783462680863,7.241922931092981,-5.862981063990058,4.6985095950904165,80.9,72.66,53.93,66.16
sh880506,5G概念,2.9687561756452263,7.151413573804555,-8.985427502150712,-0.38047348874113984,80.52,70.41,18.35,19.39
sh880673,混合现实,2.9600730008566334,7.225282184554516,-10.168087025046512,1.1563337632992,80.15,72.28,7.87,28.9
sh880686,华为汽车,2.9561464228999412,8.164644684382537,-9.104961571367976,2.5153458803305107,79.78,87.64,15.73,40.3
sh880667,数据要素,2.942475254989385,6.485215802491129,-6.141427631514351,8.096584483148606,79.4,55.43,51.69,87.45
sh880713,ETC概念,2.93380994793504,6.404053511292362,-5.233642802502914,4.368090574088446,79.03,52.81,60.67,61.22
sh880754,培育钻石,2.9294653014789507,8.200387476380676,-3.5458044157311797,7.426976965091425,78.65,88.39,74.91,84.79
sh880706,分散染料,2.9125295508274363,7.898476486334638,-4.938127820643468,3.731592241338233,78.28,82.77,64.04,56.65
sh880744,汽车拆解,2.9090871697841525,5.415284141781207,-5.442382554140379,5.604389806363108,77.9,31.46,58.43,71.86
sh880762,信创,2.89142920343497,6.374759057793455,-6.8636074342636855,8.265307818916368,77.53,51.69,43.82,89.35
sh880505,稀缺资源,2.8756040904600377,9.399622368290306,-2.4309951886553605,5.603595949075668,77.15,95.88,79.03,71.48
sh880550,PCB概念,2.854594798225585,8.168595014593993,-10.757120939230214,-2.86573102642107,76.78,88.01,4.87,7.22
sh880623,肝炎概念,2.8526515772520744,6.37973168420527,-1.3623247382634762,3.591930298291457,76.4,52.06,85.77,54.37
sh880729,CXO概念,2.8485074990656667,6.173046599792009,-4.024382847091646,2.1612460656928345,76.03,46.82,71.16,38.02
sh880585,风沙治理,2.8476151223350454,5.191420870431629,-0.15519854501363506,-0.8619963160492627,75.66,25.09,89.51,15.59
sh880964,特高压,2.8439160030696575,6.557173909676228,-6.53330736797294,3.7137357970963514,75.28,56.93,47.19,56.27
sh880601,智慧政务,2.84345450724941,6.391784847878834,-7.063050198622179,8.231610232459396,74.91,52.43,41.2,88.97
sh880553,页岩气,2.8400307676223147,5.617167487306918,-7.973082243502782,3.825507403721473,74.53,36.7,29.59,58.17
sh880657,数字水印,2.8360130020288477,5.9208161064173925,-8.055550137510004,3.4714371947538902,74.16,42.32,29.21,52.85
sh880642,供销社,2.8302174200034447,2.524122429556419,1.5137844611528894,8.51766117969821,73.78,4.87,93.63,90.49
sh880548,商业航天,2.8289755679382633,5.268826640923563,-7.495951260893041,6.580881758994495,73.41,26.22,36.33,79.85
sh880968,胎压监测,2.8165161234954716,7.145172830121194,-8.333731840048952,1.0043155004979543,73.03,70.04,24.72,26.62
sh880960,仿制药,2.8146769326226284,8.144053634466864,3.307073226025836,4.629470179668216,72.66,86.14,97.38,65.4
sh880658,高压快充,2.7959289886080985,7.5571018000302415,-9.52053748663918,-0.6214710321823302,72.28,78.65,14.23,16.35
sh880599,民营医院,2.76132529773061,6.476440885595625,-3.400811033525608,1.8502852308712292,71.91,54.68,76.78,35.74
sh880923,赛马概念,2.748483191417339,4.640863465796841,-1.9835059741162953,2.1341305585753423,71.54,18.35,80.9,37.26
