code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880666,可控核聚变,4.128401589265551,3.925539013783119,7.725516386013465,,100.0,100.0,99.62,
sh880652,创新药,3.0698047374466464,3.32171060492501,5.005243693768291,,99.63,99.63,97.74,
sh880681,减肥药,2.685982690565214,3.108006358236426,5.119730473164585,,99.25,99.25,98.5,
sh880905,超导概念,2.14569902768027,1.2641451728004904,4.90096467940524,,98.88,96.63,97.37,
sh880768,新冠药概念,2.1272640665481513,2.206822779806039,4.482188915170027,,98.5,98.88,96.24,
sh880960,仿制药,1.6983689388421208,1.5794223826714804,3.9301598070254906,,98.13,98.13,95.86,
sh880729,CXO概念,1.6669857304843383,1.313395163183828,1.59965858252884,,97.75,97.0,86.47,
sh880920,免疫治疗,1.6083883458909876,0.2877962862767314,2.4532229422210783,,97.38,94.01,89.1,
sh880747,AI医疗概念,1.4399264874799034,-2.8564388672803087,-4.586902220416766,,97.0,81.27,45.86,
sh880623,肝炎概念,1.4288051480612962,0.957154230296009,3.091050181065702,,96.63,95.88,91.73,
sh880766,幽门螺杆菌,1.1555857352459675,-0.21053135242470322,1.947988463606598,,96.25,93.63,87.97,
sh880557,生物疫苗,1.0601018226698677,0.42891195076455446,2.9116480885763574,,95.88,94.38,90.98,
sh880530,合成生物,0.8412578896975997,1.4030528785485163,3.4788000190776103,,95.51,97.38,93.61,
sh880734,工业气体,0.7336773614539105,1.6873527813009659,3.8200948086484,,95.13,98.5,95.11,
sh880929,维生素,0.6047016826205676,0.7147353762216868,3.812045697356603,,94.76,95.13,94.36,
sh880606,辅助生殖,0.44790938014758197,-2.34295304221922,-0.9611213081928915,,94.38,83.9,74.44,
sh880973,医美概念,0.37944762378701036,-1.776348492995039,1.531008158385938,,94.01,86.52,86.09,
sh880701,Sora概念,0.299623154383144,-6.102159554902665,-9.773704860455046,,93.63,41.2,12.03,
sh880644,DRG-DIP,0.25984940740613194,-7.266597921789497,-10.716276796419777,,93.26,25.47,7.89,
sh880913,基因概念,0.25549228953674064,-1.7105237529460027,-1.7533885996643628,,92.88,87.64,68.42,
sh880660,工业软件,0.0644086427810775,-5.574644645780314,-6.558297312685946,,92.51,46.82,32.33,
sh880707,宠物经济,0.02956256640029853,0.859772341971432,2.5544610721727645,,92.13,95.51,89.85,
sh880976,新冠检测,-0.03227263925644763,-2.595789506784274,-2.323968088796391,,91.76,83.15,63.91,
sh880733,人脑工程,-0.047097012600272325,-8.116749037526471,-6.179523103499863,,91.39,11.24,35.71,
sh880615,家庭医生,-0.06829499644297465,-4.581929500416637,-6.245383595411635,,91.01,59.93,34.96,
sh880630,虚拟电厂,-0.07426536364711911,-4.784650519476341,-2.402716759670631,,90.64,57.68,63.16,
sh880968,胎压监测,-0.08431582708110508,-6.47564776542665,0.13940875410587417,,90.26,37.45,80.45,
sh880933,智能医疗,-0.1341573519500483,-5.340268068077714,-6.030057554473334,,89.89,50.56,37.59,
sh880639,光热发电,-0.1397103339077055,-1.3650110971837326,3.2141610810940913,,89.51,89.14,92.11,
sh880746,国资云,-0.20022917797479778,-7.914814052231211,-9.614869920963942,,89.14,14.23,13.16,
sh880647,数据确权,-0.22626775477543326,-7.1645431496517915,-9.011814441550603,,88.76,27.34,16.17,
sh880668,知识付费,-0.26469211455807384,-0.9944153902045616,-3.351807864872003,,88.39,90.26,56.39,
sh880717,C2M概念,-0.2826131476551308,-4.13127369688242,-1.2921872194517348,,88.01,68.16,72.93,
sh880555,财税数字化,-0.3279047555314829,-7.754587272184721,-12.817347346015694,,87.64,17.98,1.88,
sh880642,供销社,-0.3493684493415805,-1.7208375462604009,-1.5884873982621062,,87.27,87.27,69.92,
sh880656,CPO概念,-0.3555600414743565,-5.371232882680744,-7.192852015177942,,86.89,49.81,27.44,
sh880585,风沙治理,-0.3573827113115269,-3.9090509564453035,-1.3042858500427634,,86.52,70.79,72.18,
sh880521,黄金概念,-0.368948187995477,-2.7144942936872085,4.8697126040715855,,86.14,82.4,96.99,
sh880674,英伟达概念,-0.40868716139599304,-6.1960883205886,-7.627978994573359,,85.77,39.7,24.44,
sh880636,热泵概念,-0.44418099189882376,-4.382975170225523,-3.0255671976164966,,85.39,63.67,58.27,
sh880725,MiniLED,-0.5035209982851119,-6.0747663551401825,-6.373603735579558,,85.02,41.57,34.21,
sh880975,有机硅概念,-0.5222661939299322,-0.4035821599010059,0.9344399331263631,,84.64,93.26,84.96,
sh880978,DeepSeek概念,-0.552420759317318,-5.887122825291568,-7.88147459847327,,84.27,42.7,23.31,
sh880537,核电核能,-0.5694718148916866,-1.737952074879301,2.5938983470179755,,83.9,86.89,90.6,
sh880692,短剧游戏,-0.5904840864077943,-5.086325936480285,-7.2513343245868,,83.52,55.81,26.69,
sh880627,超临界发电,-0.6107404908132774,-0.5019539433741338,3.582238364847057,,83.15,92.88,93.98,
sh880753,绿色电力,-0.6173484310366573,-2.786406179752332,1.1019722859814784,,82.77,81.65,85.71,
sh880611,核污染防治,-0.6323150891165974,-2.268840932756322,-0.11520962293256609,,82.4,85.02,79.32,
sh880637,EDA概念,-0.6427100022888488,-3.862406208197866,-3.327157084573029,,82.02,71.54,56.77,
sh880593,婴童概念,-0.6575626063236362,-4.12418830504172,0.14797517780542613,,81.65,68.91,80.83,
sh880501,含H股,-0.7192796883465302,-0.7633154710636414,0.6454751356073318,,81.27,90.64,83.83,
sh880513,海峡西岸,-0.7298496671735988,-3.813682150880504,-1.8148529438961392,,80.9,71.91,67.67,
sh880919,粤港澳,-0.7572835124661004,-3.783171074132896,-2.851349859698249,,80.52,72.28,59.4,
sh880740,新型烟草,-0.7818447236675796,-4.241397491637344,-1.4710067591604425,,80.15,65.92,71.43,
sh880669,算力租赁,-0.784443990188044,-9.238452907810258,-9.763655096017532,,79.78,3.0,12.41,
sh880757,冷链物流,-0.8329844004739462,-2.913163311586353,0.25127664748318956,,79.4,80.15,81.95,
sh880563,食品安全,-0.8395211509153455,-3.1935544011902794,-0.7878824208183643,,79.03,77.15,75.56,
sh880568,生物质能,-0.8508391838525586,-1.4796950683643617,4.54726188324599,,78.65,88.76,96.62,
sh880671,中特估,-0.8945024570024773,-0.6475325450049585,0.42695558300345215,,78.28,92.13,82.71,
sh880745,NMN概念,-0.9008555611474511,-1.3137923134200036,3.394293086893896,,77.9,89.89,93.23,
sh880974,烟草概念,-0.9083344077073674,-2.60911635622213,1.6104607840780716,,77.53,82.77,86.84,
sh880759,换电概念,-0.9255419004169374,-6.879359868691015,-4.344710580945654,,77.15,31.46,47.74,
sh880520,智能电网,-0.9627101137014815,-5.75442611243151,-4.484395672815012,,76.78,44.57,46.24,
sh880604,PVDF概念,-0.9744338784306916,-6.535361715255283,-4.012791825904438,,76.4,35.96,51.5,
sh880650,血氧仪,-0.9784442657331471,-5.351410011002756,-4.830716537342383,,76.03,50.19,43.23,
sh880693,多模态AI,-0.995261498352995,-8.139382845188292,-11.91078859310226,,75.66,10.11,3.01,
sh880617,IP经济,-1.0030611655532096,-4.163715659596656,-4.275222696936676,,75.28,66.67,48.5,
sh880741,代糖概念,-1.009758526790916,1.0327562154621495,3.886312839843864,,74.91,96.25,95.49,
sh880654,ChatGPT概念,-1.0202452137191953,-7.87675945855193,-10.891025845819623,,74.53,15.73,6.39,
sh880645,AIGC概念,-1.066113003312652,-7.43424642584306,-11.240640647973244,,74.16,23.97,4.89,
sh880956,腾讯概念,-1.0752568607392377,-7.633128108225973,-10.152699509180152,,73.78,20.22,10.9,
sh880943,量子科技,-1.0765605814223589,-6.46404297647214,-8.016885449260325,,73.41,37.83,22.93,
sh880732,AI智能体,-1.0789418507129,-8.60373886090664,-11.129512043890145,,73.03,6.37,5.64,
sh880601,智慧政务,-1.0803947508477463,-8.268232838851597,-11.726791008826986,,72.66,8.61,4.14,
sh880667,数据要素,-1.1125989523847024,-7.910252060773337,-10.733268153941877,,72.28,14.98,7.52,
sh880583,充电桩,-1.113558398501957,-5.42694831407895,-3.900837047883521,,71.91,49.06,51.88,
sh880597,养老概念,-1.139337304176402,-5.871547376507125,-3.8910107761560453,,71.54,43.45,52.26,
sh880540,创投概念,-1.16358808252357,-4.1554950302430065,-4.800016864354384,,71.16,67.42,43.61,
sh880713,ETC概念,-1.166425375098712,-6.428634473305738,-7.429760131491092,,70.79,38.58,25.56,
sh880921,阿里概念,-1.1680397988997449,-7.512824144492547,-9.890564815148128,,70.41,22.1,11.28,
sh880799,数据中心,-1.1840305880382873,-7.745070578502711,-8.066651953211213,,70.04,18.35,22.56,
sh880959,知识产权,-1.1860652436568642,-4.760888129803586,-6.310142049793788,,69.66,58.43,34.59,
sh880552,车联网,-1.1867555458419776,-7.682255331023724,-8.188421002754954,,69.29,19.48,21.05,
sh880758,汽车芯片,-1.190402380804767,-5.519326535451741,-6.588124963366749,,68.91,47.94,31.2,
sh880635,先进封装,-1.1946690477371624,-4.394329690724952,-6.112813261057437,,68.54,63.3,36.47,
sh880598,博彩概念,-1.2024471175690277,-5.886750548672259,-5.676853981816188,,68.16,43.07,39.47,
sh880952,芯片,-1.226209839251391,-4.781734415964567,-6.134042606579182,,67.79,58.05,36.09,
sh880916,国产软件,-1.2302795460835902,-8.037332600310965,-10.871293640651203,,67.42,12.73,6.77,
sh880724,地下管网,-1.2337210919034058,-3.5675499565595237,-0.6989487810333261,,67.04,73.78,76.32,
sh880607,东数西算,-1.2356912647254914,-9.231987028490074,-10.529064572557601,,66.67,3.37,9.77,
sh880609,跨境支付CIPS,-1.2452220241274792,-6.210840476206158,-9.815647766867286,,66.29,39.33,11.65,
sh880961,小米概念,-1.2484700122398995,-6.64738212322823,-6.074555552860728,,65.92,34.83,37.22,
sh880529,次新股,-1.251448661388177,-5.293145157524082,-6.376613543609533,,65.54,51.69,33.83,
sh880523,铜缆高速连接,-1.2516503828888248,-7.263812722300155,-8.102453203768967,,65.17,25.84,21.43,
sh880726,MCU芯片,-1.2617135523323442,-6.069610650770718,-7.771098143610178,,64.79,41.95,23.68,
sh880719,地摊经济,-1.2660874760399232,-3.2327007812156805,-2.133392553112745,,64.42,76.78,65.04,
sh880599,民营医院,-1.2696824987093347,-3.976086990632499,-0.13272771779041515,,64.04,70.41,78.95,
sh880948,人工智能,-1.2739299115944736,-7.486783996567126,-8.727046081296418,,63.67,22.47,17.67,
