code,name,date,open,close,high,low,change,pct_change,volume,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60,volume_5d_avg
sh880523,铜缆高速连接,2025-01-21,1317.63,1329.02,1329.96,1291.46,0.8644308341491824,1.489870256813619,21522452.0,9.165133394664204,5.880290947331512,-0.44048243314106506,17.698840741429535,100.0,83.59,94.25,98.85,15838054.2
sh880656,CPO概念,2025-01-21,2086.28,2104.89,2104.9700000000003,2058.23,0.8920183292750575,1.667825885353258,27212776.0,6.187444507224149,7.7083280030702195,0.9234619755181805,6.274834520677963,99.62,95.8,97.7,88.46,27692539.4
sh880695,PEEK材料,2025-01-21,1176.66,1207.57,1207.88,1175.2,2.626927064742564,2.9646998635743493,4132206.0,4.79649396858457,13.650438105277019,1.4790288830810683,18.357885657718054,99.24,99.62,98.47,99.23,3729892.0
sh880550,PCB概念,2025-01-21,1382.45,1381.8600000000001,1383.65,1357.42,-0.042677854533611934,0.330354096027774,24572766.0,4.764143075920013,9.410060094536089,0.09416468679377399,4.055722891566282,98.86,98.47,96.17,77.31,26599303.2
sh880674,英伟达概念,2025-01-21,1098.45,1110.89,1111.1000000000001,1086.4,1.1325048932586876,1.7037755886769146,21229932.0,4.593729404010949,7.217380393973616,-0.9601840129807582,6.012081420759818,98.48,91.98,91.95,86.92,20787832.0
sh880683,星闪概念,2025-01-21,1185.22,1206.34,1206.34,1176.14,1.7819476552876166,2.360587855954921,15918400.0,4.5781210718403464,8.75766318067075,-1.8270005452518334,3.7818957655843866,98.1,98.09,85.82,76.15,16196940.6
sh880541,AI手机PC,2025-01-21,1197.82,1211.23,1212.1200000000001,1186.47,1.1195338197725937,1.734448756068474,14043691.0,4.5416490449762925,6.417206266089148,-1.7353280005192318,6.7991041512361905,97.72,88.93,87.36,89.62,14362325.6
sh880670,光通信,2025-01-21,1152.5,1155.53,1155.59,1132.1100000000001,0.2629067245119282,1.0838567454554804,23043250.0,4.502866858393473,6.092712799654776,-1.7055410946086202,2.9012867892604266,97.34,86.26,88.12,68.85,23065742.4
sh880969,无线耳机,2025-01-21,2151.0,2169.96,2174.45,2126.0,0.8814504881450506,1.5846562208875037,34010390.0,4.28940121400867,8.225812082612238,-0.9643602042818888,11.066410748560473,96.96,97.33,91.57,95.38,34807794.0
sh880659,毫米波雷达,2025-01-21,1310.88,1316.79,1316.91,1293.8,0.45084218235077617,0.8648027575641537,22326963.0,4.1970326409495495,8.517108386075932,-1.3573948805537528,2.1614827802906245,96.58,97.71,89.66,65.0,22945911.4
sh880740,新型烟草,2025-01-21,995.8000000000001,996.6700000000001,996.7,978.5,0.08736694115284238,0.7683985966615126,11660225.0,4.035448481748638,5.681324157821632,-3.7740403182204285,1.9757305394122904,96.2,81.3,66.28,61.92,10595881.8
sh880566,AI眼镜,2025-01-21,1593.82,1617.8400000000001,1621.48,1579.13,1.507071061976899,2.494836739606976,40084978.0,3.975629506806011,5.228103495375502,-1.3205326046514365,14.782756761358806,95.82,75.57,90.04,98.46,35652738.8
sh880703,人形机器人,2025-01-21,1465.0,1511.16,1511.18,1458.0,3.1508532423208244,3.770643776824034,40845880.0,3.923362056515667,17.337930070581663,8.95955007570841,36.817231170383245,95.44,100.0,100.0,100.0,37318078.0
sh880633,汽车热管理,2025-01-21,1222.7,1233.26,1233.27,1206.8700000000001,0.863662386521628,1.369390103567314,25633915.0,3.7163497523274636,9.706000088956102,2.780231685973833,10.92263136119156,95.06,98.85,99.23,95.0,25482017.8
sh880966,消费电子概念,2025-01-21,1570.52,1580.33,1580.33,1549.93,0.6246338792247119,1.1683140428146999,89577714.0,3.7043599233535396,5.891852050388624,-2.7537105865557354,2.817121331398864,94.68,83.97,78.54,68.46,82521801.6
sh880658,高压快充,2025-01-21,1078.92,1079.7,1082.38,1062.35,0.07229451673895865,0.6000409965898346,19718638.0,3.6757504176988975,3.2375889237359567,-1.9657692831525075,6.033822402922628,94.3,43.89,84.67,87.31,17646740.2
sh880930,汽车电子,2025-01-21,1923.99,1936.69,1936.72,1900.3,0.6600865908866493,1.185475444096129,74415457.0,3.6710900321715423,7.321411749059337,-1.809489043693413,4.3587671085246305,93.92,92.37,86.21,80.0,71592077.8
sh880589,智能穿戴,2025-01-21,2228.84,2244.67,2244.7200000000003,2201.29,0.7102349204070246,1.4118423073795405,57349996.0,3.606689037308497,5.797818689139644,-3.949147610570991,3.5082703507809176,93.54,83.21,64.37,73.46,52475609.6
sh880574,苹果概念,2025-01-21,4055.83,4076.8,4076.88,3996.2000000000003,0.5170335048559791,1.0659923645198077,46942348.0,3.60619075452997,6.7596833452484795,-2.8472837846854726,2.2146336815871637,93.16,90.84,78.16,65.38,42827955.4
sh880726,MCU芯片,2025-01-21,964.94,977.84,982.24,953.8100000000001,1.3368706862602833,1.9135364989369297,11442539.0,3.601207819039054,7.916257408040961,-4.457428722177714,5.687295994466179,92.78,96.56,57.09,85.0,11222789.2
sh880758,汽车芯片,2025-01-21,732.15,740.5600000000001,741.8000000000001,722.9,1.1486717202759111,1.6722040693044837,20900139.0,3.5415181130545426,7.060660382813855,-3.1770520095180776,2.5891088423123376,92.4,91.6,75.86,67.31,21275790.6
sh880961,小米概念,2025-01-21,1771.83,1783.07,1783.0900000000001,1749.55,0.6343723720672982,1.2124583501257336,103292737.0,3.3496012241491124,6.579836101829661,-2.0807705825498735,6.8167113965302395,92.02,89.69,83.52,90.0,97890719.2
sh880569,3D打印,2025-01-21,2473.8,2475.34,2476.53,2436.14,0.06225240520656332,0.889745711246337,19778717.0,3.2075416630184206,7.417982989064398,-0.30769478610378487,7.044044195550159,91.63,92.75,94.64,90.77,19723938.6
sh880552,车联网,2025-01-21,1254.78,1257.68,1259.46,1236.52,0.23111621160682277,0.9228201383427725,9165863.0,3.1883296959354324,6.947397064575922,-5.305876595264092,-3.57433105880548,91.25,91.22,41.38,20.38,9066217.6
sh880506,5G概念,2025-01-21,2104.05,2101.71,2108.15,2068.86,-0.11121408711770848,0.4579065354447298,103539009.0,3.1119375159448293,5.720882503848124,-3.4020765444241707,2.1561717743699527,90.87,82.06,70.88,64.62,106618658.8
sh880631,一体压铸,2025-01-21,911.14,913.46,913.57,899.27,0.2546260728318425,0.9772058986093679,11836317.0,3.0935048812143817,7.691400815826088,-0.4761230293191532,6.6216894470836785,90.49,95.42,93.87,89.23,12973418.2
sh880951,新能源车,2025-01-21,1355.84,1356.84,1357.04,1337.98,0.0737550153410432,0.6781924760703273,97303078.0,3.028186125622634,6.195604533216437,-0.5723079177811341,4.503338801728307,90.11,87.02,92.72,80.77,102322659.4
sh880561,折叠屏,2025-01-21,1440.92,1443.3600000000001,1444.45,1420.07,0.16933625739111502,0.6442975483223146,35841615.0,2.963290579389666,6.330344842827995,-3.6237254862683033,0.08598452278589797,89.73,88.55,68.97,49.23,28922951.6
sh880952,芯片,2025-01-21,1747.49,1756.03,1757.67,1725.19,0.4887009367721683,0.9705890808728412,113906506.0,2.9500911643831618,5.930434572786725,-4.288416152961505,1.2728090613393528,89.35,84.35,58.62,56.92,109154925.6
sh880716,光刻机,2025-01-21,2098.32,2099.68,2102.07,2067.3,0.06481375576650236,0.5329056043666514,10391750.0,2.9113651067500523,6.485444771274973,-3.642412978132692,-1.0919231602649404,88.97,89.31,68.58,40.0,11066884.8
sh880696,小米汽车概念,2025-01-21,1133.72,1142.2,1142.29,1120.2,0.747980100906751,1.1727607709750565,16527122.0,2.909244893730123,7.782170930331311,0.017513134851143697,5.6966242226828445,88.59,96.18,95.79,85.38,16097546.2
sh880906,智能家居,2025-01-21,2757.78,2762.04,2762.33,2721.41,0.15447207536495888,0.6658721394285916,54692474.0,2.8930330281107697,4.080640602920393,-2.653551049754521,5.188113382156367,88.21,58.78,79.69,82.69,54441469.8
sh880725,MiniLED,2025-01-21,788.66,789.65,790.58,775.97,0.12552937894656874,0.5692962123334588,36414887.0,2.8846529686909594,4.55063022984854,-4.84424896065555,0.1928615837488712,87.83,66.03,50.19,50.38,29509220.4
sh880707,宠物经济,2025-01-21,1008.5500000000001,1004.35,1009.66,993.1800000000001,-0.4164394427643691,0.03187155762278682,5474442.0,2.8825764948115618,5.14992252606894,,,87.45,74.05,,,6163581.6
sh880686,华为汽车,2025-01-21,1238.14,1243.64,1243.68,1219.76,0.4442147091605149,0.8441247780219596,40186481.0,2.8099036911503283,7.6502259231688186,-0.4841200617753172,5.025630631771838,87.07,95.04,93.49,81.92,42697448.4
sh880672,存储芯片,2025-01-21,1208.49,1217.27,1220.31,1192.31,0.7265264917376207,1.2383772185166064,17118292.0,2.7995473431746687,5.659378336385812,-5.201470336277114,0.2792697795498622,86.69,80.53,43.3,50.77,17678222.4
sh880904,机器人概念,2025-01-21,3631.44,3654.17,3654.19,3582.66,0.6259224990637328,1.2616941562472395,177606430.0,2.792194457806252,7.930802266027892,-0.5335118964986951,9.022749310061906,86.31,96.95,93.1,93.08,174609946.2
sh880661,6G概念,2025-01-21,1265.67,1264.3700000000001,1267.73,1244.9,-0.10271239738636094,0.4273266666137143,19775457.0,2.7884591933792446,6.0054999413116095,-5.648958636489121,0.6087274810618215,85.93,85.88,37.16,52.31,19193893.4
sh880635,先进封装,2025-01-21,1141.59,1140.03,1143.06,1122.8700000000001,-0.13665151236432918,0.24973839024260425,26481264.0,2.780407324263634,6.118402680815427,-4.3197650020981975,1.1552692522692753,85.55,86.64,57.85,56.54,29958907.4
sh880968,胎压监测,2025-01-21,1904.95,1896.82,1906.17,1869.39,-0.42678285519305537,-0.05216539063447323,4653308.0,2.7524227929426104,7.630152920815947,-1.2700263374314291,3.3402160707378226,85.17,94.27,90.42,72.69,4741848.8
sh880682,华为海思,2025-01-21,1159.19,1160.06,1161.24,1139.09,0.07505240728438745,0.7792613957205763,14520180.0,2.7192632930446603,6.20634092303185,-5.6930793681763125,-3.1936111087930708,84.79,87.4,36.78,24.23,14921393.0
sh880709,人造肉,2025-01-21,1069.01,1062.39,1069.14,1051.85,-0.6192645531847121,0.07724408187874676,7608094.0,2.6930103525272475,4.862159841283953,-1.1546334201711805,4.224343441280065,84.41,69.47,90.8,78.85,7584452.8
sh880945,OLED概念,2025-01-21,1464.71,1463.88,1467.43,1443.89,-0.05666650736322734,0.32622402543998064,42292098.0,2.6643008927757394,5.265125911437729,-5.110454262601117,-1.3644357300236498,84.03,76.34,45.98,36.92,36024333.6
sh880520,智能电网,2025-01-21,2238.06,2234.4500000000003,2242.77,2210.05,-0.16130041196391842,0.5861089478399251,47436734.0,2.654985160750889,3.847726871345869,-3.2973548454107826,2.3840507326729155,83.65,54.58,73.18,66.15,46045955.4
sh880942,虚拟现实,2025-01-21,880.1,881.76,882.9,866.33,0.1886149301215735,0.7127192982456121,101711583.0,2.6519825839949718,6.2579082462673075,-4.4990793891476315,3.181717120891192,83.27,87.79,55.56,70.77,93188162.8
sh880697,飞行汽车,2025-01-21,1372.73,1376.42,1376.42,1355.2,0.26880741296540867,0.7812557203002113,15817050.0,2.644374179692166,7.525252130709581,-0.970566439553644,3.3868387251845933,82.89,93.89,91.19,73.08,15390011.8
sh880685,液冷服务器,2025-01-21,1289.93,1295.27,1295.27,1272.93,0.41397595218344546,0.9547785693130306,28493353.0,2.6354783242604984,5.700949070107142,2.111976538849647,11.464222709866178,82.51,81.68,98.85,95.77,29572980.2
sh880636,热泵概念,2025-01-21,1180.39,1176.77,1182.05,1160.99,-0.30667830123943085,-0.04416923612703405,14391098.0,2.564169608227651,5.560738441665625,1.255399335731111,10.527007861443227,82.13,79.01,98.08,94.62,14736878.4
sh880902,特斯拉概念,2025-01-21,3816.7000000000003,3826.9700000000003,3826.9900000000002,3764.4300000000003,0.26908061938323635,0.6840359171474741,61074452.0,2.562611387299518,7.641267966135068,-0.09059011497373204,7.618868179210581,81.75,94.66,95.4,91.92,59776384.0
sh880706,分散染料,2025-01-21,633.25,632.77,636.3100000000001,625.97,-0.07579944729569967,0.521056728462721,2120062.0,2.522683084899535,4.302174163878214,-2.6522668882017264,-1.9751518155905368,81.37,62.21,80.08,33.08,2505343.4
sh880964,特高压,2025-01-21,2000.18,1989.1000000000001,2005.88,1973.47,-0.5539501444869925,-0.040705358533799085,17791298.0,2.4490741932991833,3.513775122555418,-4.198394235817105,-1.3837313647428573,80.99,47.71,61.69,36.15,18723546.2
sh880719,地摊经济,2025-01-21,1998.95,1986.0800000000002,2003.67,1972.99,-0.6438380149578474,-0.5567794912877955,11537059.0,2.3757854421930125,3.7849136466961086,-2.5762778377317774,12.915385096451782,80.61,52.67,80.84,96.92,11249186.6
sh880664,机器视觉,2025-01-21,1147.92,1155.3600000000001,1155.3600000000001,1131.48,0.648128789462685,1.2780728974912003,40644680.0,2.336622437952851,7.458355422863372,-1.931059069187091,7.680693415350204,80.23,93.51,85.44,92.31,38456740.0
