code,name,date,open,close,high,low,change,pct_change,volume,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60,volume_5d_avg
sh880549,可燃冰,2025-03-20,1477.2,1533.92,1539.0900000000001,1477.2,3.839696723531006,3.9748386746922604,13715889.0,9.130750295251788,14.470787531436336,16.60977779129258,12.985128495981968,100.0,99.62,100.0,83.14,10850416.2
sh880675,减速器,2025-03-20,1795.66,1842.99,1866.67,1795.1200000000001,2.635799650267864,2.5427170907310392,45448594.0,8.094523102910301,7.230380748463983,15.742438705787777,39.15870067503284,99.63,98.87,99.62,99.62,38912892.8
sh880765,海洋经济,2025-03-20,951.46,1000.0,1021.73,936.8100000000001,5.101633279381158,4.964836779678805,35562136.0,7.828337287039044,,,,99.25,,,,30258553.2
sh880903,水产品,2025-03-20,528.9,554.89,561.99,527.57,4.91397239553791,4.544341240085159,8021823.0,6.5252447686696025,16.713291125928098,15.37613839564187,-0.5020710430525988,98.88,100.0,99.25,18.01,6689138.8
sh880553,页岩气,2025-03-20,1453.46,1484.8700000000001,1490.03,1452.98,2.1610501836995915,2.1160855512000643,25382238.0,4.932618174365944,9.79923836284986,9.190449227511044,8.65830009878894,98.5,99.25,96.99,62.07,22466796.8
sh880736,工业母机,2025-03-20,1396.2,1411.49,1425.65,1392.07,1.0951153129924054,1.1799029411553974,35663172.0,3.8379483859577013,4.149787862018073,8.29541879895961,20.586576905990505,98.13,87.22,95.86,95.02,28728618.2
sh880633,汽车热管理,2025-03-20,1515.78,1533.73,1549.49,1512.33,1.1842087901938307,0.8415903427508198,33432308.0,3.5052200379271037,4.929977354669646,9.271938386565882,25.87136537846022,97.75,93.61,97.37,98.85,31210908.6
sh880575,地热能,2025-03-20,1941.53,1953.89,1980.2,1937.24,0.6366113322997907,0.5180520830118107,8289656.0,3.4307705338048278,4.922619239402448,6.107210157323384,5.136593791533706,97.38,93.23,86.09,42.91,7407001.2
sh880637,EDA概念,2025-03-20,1130.97,1128.83,1139.0,1125.16,-0.18921810481269175,-0.18392268173419435,3738443.0,3.32823784634817,1.9544974214001032,3.1573271923091006,2.4430307375375326,97.0,54.89,54.51,30.65,3806878.0
sh880695,PEEK材料,2025-03-20,1389.81,1384.96,1407.2,1373.06,-0.3489685640483166,-0.7652403198532665,4336980.0,2.9962741787948,3.076762775189401,2.95033710704915,19.393103448275873,96.63,68.8,52.63,93.87,4282430.8
sh880686,华为汽车,2025-03-20,1477.08,1491.97,1505.65,1472.5,1.0080699758984009,0.692443190637837,50679997.0,2.7414334508593985,3.5874470596403585,7.253409246119902,17.442812386844864,96.25,80.45,93.61,91.95,51725002.0
sh880631,一体压铸,2025-03-20,1112.45,1132.59,1140.9,1111.26,1.8104184457728323,1.5575402162801844,21335719.0,2.5367337515956434,2.4764300320298194,10.403953755873108,20.633314516386704,95.88,61.65,98.87,95.4,16848988.8
sh880968,胎压监测,2025-03-20,2225.7200000000003,2242.71,2261.73,2222.7400000000002,0.7633484894775524,0.49334587982254874,6343786.0,2.522948361614974,6.31375858015093,6.692578126858306,13.164162234713551,95.51,98.12,90.6,83.52,6409187.0
sh880568,生物质能,2025-03-20,1467.67,1467.8700000000001,1476.94,1463.25,0.01362704150115799,-0.1442186681541946,13586089.0,2.4440799804585245,6.138961799605203,9.272617638519787,4.477707550392895,95.13,97.74,97.74,39.46,14435326.8
sh880560,高端装备,2025-03-20,2061.13,2088.26,2107.71,2057.17,1.3162682606143286,1.0852728188049499,105872620.0,2.3681952989043964,4.531120165787361,8.09526520935675,14.836729980313024,94.76,89.85,95.11,89.66,90286573.0
sh880696,小米汽车概念,2025-03-20,1405.1100000000001,1415.47,1430.64,1398.32,0.7373088227967844,0.323906726203127,28807064.0,2.3403947653821033,3.414844417817986,8.533331288625789,23.545225231515833,94.38,77.44,96.24,97.7,27644342.0
sh880750,天然气,2025-03-20,1083.65,1093.91,1100.32,1083.13,0.9468001661052914,0.7357816413732232,42876624.0,2.287156949834035,5.638712917181721,6.878291369893796,2.7145539906103355,94.01,96.62,91.73,32.95,38399255.2
