code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880703,人形机器人,8.91801805175838,,,,100.0,,,
sh880675,减速器,6.729209911779965,,,,99.62,,,
sh880695,PEEK材料,5.4746496535437394,,,,99.24,,,
sh880643,Web3概念,4.610514938624255,,,,98.85,,,
sh880701,Sora概念,4.491149191267962,,,,98.47,,,
sh880688,新型工业化,4.480075028631703,,,,98.09,,,
sh880692,短剧游戏,4.3930864197530894,,,,97.71,,,
sh880968,胎压监测,4.3845810220133785,,,,97.33,,,
sh880903,水产品,4.306755985714594,,,,96.95,,,
sh880749,云游戏,4.15626792016992,,,,96.56,,,
sh880633,汽车热管理,4.051558931368504,,,,96.18,,,
sh880696,小米汽车概念,4.020580875530699,,,,95.8,,,
sh880590,网络游戏,3.975286421376878,,,,95.42,,,
sh880736,工业母机,3.9532386752809012,,,,95.04,,,
sh880579,智谱AI,3.877073475118298,,,,94.66,,,
sh880904,机器人概念,3.772995568737114,,,,94.27,,,
sh880645,AIGC概念,3.7179777828156846,,,,93.89,,,
sh880693,多模态AI,3.717337204479465,,,,93.51,,,
sh880902,特斯拉概念,3.7070903870793703,,,,93.13,,,
sh880654,ChatGPT概念,3.6817177585002137,,,,92.75,,,
sh880664,机器视觉,3.6360465223018723,,,,92.37,,,
sh880535,稀土永磁,3.5771512101874903,,,,91.98,,,
sh880697,飞行汽车,3.56982869147473,,,,91.6,,,
sh880657,数字水印,3.546383719864332,,,,91.22,,,
sh880959,知识产权,3.4952856350526806,,,,90.84,,,
sh880689,华为算力,3.493712303386287,,,,90.46,,,
sh880686,华为汽车,3.4888396485494466,,,,90.08,,,
sh880967,数字货币,3.432687099168752,,,,89.69,,,
sh880631,一体压铸,3.4005904937508102,,,,89.31,,,
sh880726,MCU芯片,3.315600507903138,,,,88.93,,,
sh880711,操作系统,3.285191736360349,,,,88.55,,,
sh880621,NFT概念,3.2294030587074474,,,,88.17,,,
sh880962,百度概念,3.202708851949998,,,,87.79,,,
sh880647,数据确权,3.186701804175951,,,,87.4,,,
sh880720,抖音概念,3.1467384171151247,,,,87.02,,,
sh880617,IP经济,3.1215755033031645,,,,86.64,,,
sh880592,互联金融,3.0856123182262163,,,,86.26,,,
sh880762,信创,3.0568855547681295,,,,85.88,,,
sh880738,数字孪生,2.9973662643124843,,,,85.5,,,
sh880683,星闪概念,2.965250689541299,,,,85.11,,,
sh880916,国产软件,2.9496647609432936,,,,84.73,,,
sh880899,钴金属,2.94592023821012,,,,84.35,,,
sh880569,3D打印,2.9280999751092107,,,,83.97,,,
sh880613,电子身份证,2.8937840785169033,,,,83.59,,,
sh880956,腾讯概念,2.852753726227064,,,,83.21,,,
sh880748,元宇宙概念,2.8465609190051255,,,,82.82,,,
sh880948,人工智能,2.839758119780411,,,,82.44,,,
sh880954,大数据,2.837749557846414,,,,82.06,,,
sh880908,职业教育,2.7844220375044415,,,,81.68,,,
sh880601,智慧政务,2.784044016506204,,,,81.3,,,
sh880944,无人驾驶,2.776655692674357,,,,80.92,,,
sh880609,跨境支付CIPS,2.7651029784042214,,,,80.53,,,
sh880722,华为鸿蒙,2.764722145424381,,,,80.15,,,
sh880667,数据要素,2.7603483798464223,,,,79.77,,,
sh880668,知识付费,2.6802629035376,,,,79.39,,,
sh880552,车联网,2.657356793315757,,,,79.01,,,
sh880555,财税数字化,2.643913815573873,,,,78.63,,,
sh880716,光刻机,2.603456859658748,,,,78.24,,,
sh880660,工业软件,2.586336578342263,,,,77.86,,,
sh880758,汽车芯片,2.583115802759539,,,,77.48,,,
sh880545,云计算,2.5801257315918313,,,,77.1,,,
sh880901,信息安全,2.5616390785970555,,,,76.72,,,
sh880946,区块链,2.555100680725486,,,,76.34,,,
sh880739,边缘计算,2.552517618450767,,,,75.95,,,
sh880797,虫害防治,2.540433619051319,,,,75.57,,,
sh880563,食品安全,2.508398850136806,,,,75.19,,,
sh880673,混合现实,2.4851758129697643,,,,74.81,,,
sh880522,低空经济,2.436168635011815,,,,74.43,,,
sh880969,无线耳机,2.406721100890352,,,,74.05,,,
sh880795,口罩防护,2.398875127826372,,,,73.66,,,
sh880577,安防服务,2.395776298414143,,,,73.28,,,
sh880794,远程办公,2.367078633045794,,,,72.9,,,
sh880611,核污染防治,2.3489932885906173,,,,72.52,,,
sh880591,上海自贸,2.333530533096706,,,,72.14,,,
sh880942,虚拟现实,2.330180362631329,,,,71.76,,,
sh880949,智慧城市,2.3091748790865063,,,,71.37,,,
sh880951,新能源车,2.296100668013046,,,,70.99,,,
sh880707,宠物经济,2.293779864196499,,,,70.61,,,
sh880637,EDA概念,2.285726105888064,,,,70.23,,,
sh880957,工业互联,2.2836057748132355,,,,69.85,,,
sh880598,博彩概念,2.25873190916277,,,,69.47,,,
sh880533,物联网,2.2189401758069716,,,,69.08,,,
sh880791,网红经济,2.2022682298870055,,,,68.7,,,
sh880717,C2M概念,2.187442925581995,,,,68.32,,,
sh880564,白酒概念,2.1747282143342206,,,,67.94,,,
sh880560,高端装备,2.169946565880365,,,,67.56,,,
sh880651,旅游概念,2.129957703683516,,,,67.18,,,
sh880547,玻璃基板,2.1199456601683764,,,,66.79,,,
sh880952,芯片,2.1138649425287426,,,,66.41,,,
sh880761,锂矿,2.1103470857891216,,,,66.03,,,
sh880682,华为海思,2.100133801034243,,,,65.65,,,
sh880596,体育概念,2.0976556935833335,,,,65.27,,,
sh880746,国资云,2.0958860668261803,,,,64.89,,,
sh880610,中俄贸易,2.0927511816182243,,,,64.5,,,
sh880580,智能交通,2.0810484331892587,,,,64.12,,,
sh880961,小米概念,2.0791177062255084,,,,63.74,,,
sh880737,HJT电池,2.0777426769478025,,,,63.36,,,
sh880733,人脑工程,2.067194670229111,,,,62.98,,,
sh880713,ETC概念,2.0359326450836823,,,,62.6,,,
sh880571,碳纤维,2.026494721659966,,,,62.21,,,
sh880635,先进封装,2.011367398741881,,,,61.83,,,
sh880636,热泵概念,2.005707732110018,,,,61.45,,,
sh880939,无人机,1.9904159358556717,,,,61.07,,,
sh880659,毫米波雷达,1.9893471067710333,,,,60.69,,,
sh880672,存储芯片,1.9703076022183241,,,,60.31,,,
sh880561,折叠屏,1.956477467779938,,,,59.92,,,
