code,name,date,open,close,high,low,change,pct_change,volume,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60,volume_5d_avg
sh880549,可燃冰,2025-03-19,1469.4,1475.28,1486.02,1468.94,0.4001633319722255,0.6893350987591917,10685820.0,7.459555529656847,10.864125166264627,11.92728762508819,,100.0,100.0,99.62,,9631609.4
sh880675,减速器,2025-03-19,1759.8700000000001,1797.29,1812.26,1757.51,2.126293419400288,1.8548533345423168,40229789.0,7.431095596454207,6.121834424690453,14.945638270657447,,99.62,97.37,100.0,,38008855.6
sh880695,PEEK材料,2025-03-19,1392.34,1395.64,1414.58,1387.06,0.23701107488114845,-0.18808956782309094,4484759.0,5.586321682554107,3.9621587396178715,4.190338258019732,,99.25,87.97,51.5,,4337025.4
sh880633,汽车热管理,2025-03-19,1516.34,1520.93,1531.93,1506.19,0.3027025601118579,0.24716909002227005,33627712.0,5.026447719143179,4.890277375484486,10.48854019105736,,98.87,94.36,99.25,,30731532.6
sh880903,水产品,2025-03-19,539.07,530.77,540.55,529.76,-1.5396887231714003,-2.3314441336670266,6880538.0,4.934659259405705,10.383911488228925,9.234410372504609,,98.5,99.62,96.62,,5827813.4
sh880703,人形机器人,2025-03-19,1960.27,1965.02,1986.68,1942.81,0.24231355884648545,-0.17931980391658886,59656552.0,4.853073791267137,1.313191204145303,6.431310527113987,,98.12,48.12,81.58,,61127542.2
sh880593,婴童概念,2025-03-19,2460.38,2456.79,2472.09,2447.08,-0.1459124200326838,-0.6631112045576759,34340868.0,4.656928523048198,5.070502046419723,6.989069372468748,,97.74,95.86,85.71,,39087675.6
sh880696,小米汽车概念,2025-03-19,1411.38,1410.9,1422.8,1397.38,-0.03400926752540196,-0.10549494119895808,28103448.0,4.547509132809213,4.448442045883594,10.01512717745583,,97.37,92.48,97.74,,27375837.4
sh880575,地热能,2025-03-19,1934.4,1943.82,1952.75,1931.43,0.48697270471463217,0.18141524506518625,6893559.0,4.2743570761852645,3.961492178098669,7.206794804621786,,96.99,87.59,88.35,,7111877.0
sh880968,胎压监测,2025-03-19,2223.86,2231.7000000000003,2249.07,2208.55,0.3525401778889024,0.03855050115653125,6884316.0,4.237798754770039,6.547437170575221,7.174243988647233,,96.62,98.12,87.59,,6527341.0
sh880553,页岩气,2025-03-19,1445.77,1454.1000000000001,1462.09,1445.51,0.576163566819076,0.2316059390380154,19691954.0,4.196225117158958,7.610674481594959,6.654833244093683,,96.24,98.87,83.08,,24263498.8
sh880686,华为汽车,2025-03-19,1476.97,1481.71,1492.33,1465.92,0.32092730387211715,0.1020132414538466,53398611.0,4.119205391085612,3.7168996437096036,7.805417518534963,,95.86,84.96,92.86,,51636108.6
sh880637,EDA概念,2025-03-19,1127.06,1130.91,1143.82,1125.84,0.34159672067149366,0.24820274618608806,4410320.0,4.029031100808567,0.742040656345222,6.984334203655362,,95.49,40.98,85.34,,3860476.2
sh880974,烟草概念,2025-03-19,1742.47,1750.3700000000001,1750.3700000000001,1738.27,0.45337939821059137,0.3439637232926396,4204712.0,3.988759706041356,5.182919500997518,7.473014625520369,,95.11,96.62,91.73,,4555959.6
sh880902,特斯拉概念,2025-03-19,4553.53,4554.83,4581.56,4513.03,0.02854927935031024,-0.22999432680660403,68356914.0,3.986804255513454,3.624607838453331,7.437651992801042,,94.74,83.83,90.6,,73581799.0
sh880736,工业母机,2025-03-19,1394.07,1395.03,1408.32,1387.99,0.06886311304310662,-0.06662082008080938,29872673.0,3.8873126158933013,4.084967320261446,8.702224646433155,,94.36,89.1,95.86,,27451179.0
sh880717,C2M概念,2025-03-19,1790.94,1778.2,1792.81,1769.46,-0.7113582811261131,-1.1127732578508631,10528382.0,3.861362428377002,2.9927079170359194,9.81152582565521,,93.98,74.06,97.37,,11208579.8
sh880740,新型烟草,2025-03-19,1158.29,1162.74,1162.74,1147.76,0.3841870343351014,-0.00945951756461394,12839011.0,3.6624289000231736,3.409818569903944,6.128148959474244,,93.61,80.83,77.07,,14237049.8
sh880684,BC电池,2025-03-19,899.87,891.2,901.19,886.74,-0.9634725015835575,-1.4290138477193293,9089711.0,3.6520120958362323,3.813806117932117,7.012487992315086,,93.23,86.84,86.09,,10568372.2
sh880521,黄金概念,2025-03-19,1160.03,1168.23,1173.16,1154.93,0.7068782703895629,0.5854851347046219,34020283.0,3.621607237892488,8.79602898172811,10.156338400030185,,92.86,99.25,98.5,,40490087.6
sh880638,TOPCon电池,2025-03-19,669.19,665.9,670.38,661.03,-0.49163914583303353,-1.021151359305561,14513993.0,3.5872067699582955,3.4520258513546898,4.958703738730197,,92.48,81.2,63.53,,16474864.6
sh880729,CXO概念,2025-03-19,687.98,686.13,692.73,683.94,-0.26890316578970647,-0.7564799814857692,11141135.0,3.466839581385539,0.972745467388747,0.18836516558611294,,92.11,42.48,7.89,,10403914.6
sh880563,食品安全,2025-03-19,2771.13,2767.57,2786.7200000000003,2759.57,-0.12846744829726303,-0.2738570970426957,14109128.0,3.4416125644274542,3.6861508028683154,5.936504777070062,,91.73,84.21,74.06,,13125075.6
sh880795,口罩防护,2025-03-19,1651.5900000000001,1651.69,1657.14,1645.13,0.006054771462645635,-0.22592317403937745,50822195.0,3.4154801708053073,2.764971224140611,5.550762702657797,,91.35,71.8,69.92,,54966502.4
sh880606,辅助生殖,2025-03-19,919.1700000000001,917.84,926.07,914.41,-0.14469575812962138,-0.4846526655896688,14244214.0,3.4092701502963063,2.101340452750433,1.9878882160119904,,90.98,59.02,20.3,,13267597.4
sh880953,租购同权,2025-03-19,693.35,690.39,693.94,688.35,-0.4269128145958082,-0.2672483531723113,9299627.0,3.3425141454360263,2.6220735785953186,6.153420360717732,,90.6,66.92,77.82,,9711987.4
sh880969,无线耳机,2025-03-19,2464.71,2465.37,2473.05,2445.04,0.02677799822290876,-0.4329406443223105,29039045.0,3.318260490572822,-0.6544138684160816,1.2638626468413738,,90.23,22.18,13.91,,29606537.2
sh880920,免疫治疗,2025-03-19,869.13,872.87,877.86,867.38,0.43031537284410953,0.02291817067161528,7484092.0,3.300669838339365,2.6531500276369746,3.618276570234702,,89.85,68.05,43.23,,7398530.2
