code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880914,军贸概念,8.82446234853771,12.39259439525262,21.743450401492414,,100.0,99.63,100.0,
sh880729,CXO概念,5.010477100052757,5.633863404981443,2.8236443575964776,6.704905922739335,99.63,83.27,21.93,49.81
sh880950,军民融合,4.8657093423079445,7.550164719976027,10.322263524930108,16.108798448045913,99.26,96.65,94.05,96.63
sh880733,人脑工程,4.848979144249421,5.202280338612386,9.047751427410544,10.898309507930515,98.88,76.58,88.85,81.65
sh880765,海洋经济,4.84833866007357,5.044707588206876,6.685074397913793,12.806150585538356,98.51,73.23,70.63,90.26
sh880920,免疫治疗,4.841668326327819,5.425147302182931,4.237447110073589,14.811116085264642,98.14,79.93,37.17,94.76
sh880528,军工信息化,4.6719279793470125,7.337989500995601,9.999536235468721,12.590289480138296,97.77,95.91,93.31,89.14
sh880656,CPO概念,4.606247026034915,6.071754751770597,13.698725023435344,13.364734266152833,97.4,89.22,98.14,92.13
sh880615,家庭医生,4.559097688292324,6.816298934417642,5.091018109933754,6.471576509449184,97.03,93.68,46.47,46.82
sh880716,光刻机,4.448333286290884,10.276462775015327,9.869997667168562,11.804338630732957,96.65,99.26,92.19,86.52
sh880905,超导概念,4.121767594108028,2.8023308049550666,4.988481011822632,10.426755815689258,96.28,18.96,44.61,78.65
sh880635,先进封装,4.054010427596011,8.74240890688258,11.786943666490357,7.878904517651408,95.91,98.14,96.65,61.42
sh880768,新冠药概念,4.038391699092103,4.553701772679886,3.7294903891912146,14.064206406989467,95.54,59.48,32.71,94.38
sh880507,国防军工,4.002077432679707,6.168546945317788,7.705681853716495,8.929215238553056,95.17,90.33,79.18,70.79
sh880505,稀缺资源,3.8654875204250816,4.4098654596065545,7.854311841048611,9.391626489405036,94.8,54.28,80.3,74.16
sh880652,创新药,3.8336107129457675,3.9946814660654306,2.2179710584135037,13.47259748315266,94.42,44.24,16.73,92.51
sh880734,工业气体,3.8041489727356437,4.710882451627341,4.249159298933258,4.263091075127501,94.05,65.06,37.55,22.1
sh880666,可控核聚变,3.8002487628020276,2.060172385753778,3.7268189481339586,15.791726631979031,93.68,11.15,32.34,95.88
sh880616,大飞机,3.7847422812760767,5.718745913430112,7.577471348492137,12.922206605148979,93.31,84.76,78.07,91.39
sh880516,ST板块,3.763451534765516,3.8975368282936795,7.786783813884424,21.464928182959152,92.94,40.52,79.55,99.25
sh880681,减肥药,3.7458285714285777,3.1779372050519727,3.2070289050988743,15.087833177816545,92.57,24.91,27.88,95.13
sh880747,AI医疗概念,3.735109124659841,5.195873274058105,3.3421307766885677,4.282013189361544,92.19,75.84,29.0,22.47
sh880521,黄金概念,3.678340672455671,2.693624653513771,3.5402812826224705,11.861607182501999,91.82,17.1,30.48,86.89
sh880754,培育钻石,3.550373134328355,6.193318792331537,5.253875693357979,20.038929440389296,91.45,90.71,48.33,98.88
sh880548,商业航天,3.5322874716996244,5.595782217469192,7.570500721660922,12.662974752540013,91.08,82.9,77.7,89.51
sh880672,存储芯片,3.5299827913338966,8.209196144444952,11.738326361825235,8.04310119879046,90.71,97.4,96.28,62.92
sh880939,无人机,3.502566147434494,6.263618715581787,8.422825574344817,10.868307200529092,90.33,91.08,84.39,81.27
sh880644,DRG-DIP,3.4087187354558512,6.946375726459153,6.485080852725567,2.627684780470285,89.96,94.8,68.03,12.36
sh880922,钛金属,3.405460090103851,5.459430972157264,4.071258002607703,4.971665422949889,89.59,80.3,36.43,29.59
sh880929,维生素,3.2960516659327865,3.7933089098513895,1.9806169647929028,11.083120244972688,89.22,37.55,14.87,82.02
sh880550,PCB概念,3.286437053607183,8.443541499521201,15.13061636637152,13.60653959818887,88.85,97.77,98.88,93.26
sh880611,核污染防治,3.252680382497841,1.883555523785696,9.309482039630712,11.456052549264939,88.48,8.92,89.96,83.15
sh880608,第三代半导体,3.208571992889575,7.363803536022839,8.45120116224769,6.02946249213725,88.1,96.28,84.76,40.45
sh880976,新冠检测,3.207859095822463,4.508651911468808,3.419933417225507,4.800490702479343,87.73,57.62,29.37,26.97
sh880523,铜缆高速连接,3.193224910634651,4.781081817311739,9.626109193985698,8.736610485460616,87.36,68.03,91.45,69.66
sh880546,卫星导航,3.188176634457962,5.968725944138686,8.038796132881455,10.555904058303401,86.99,87.73,82.16,80.15
sh880973,医美概念,3.1442057605240548,3.1124207931280123,0.44371065937467424,10.588502613042493,86.62,24.16,5.58,80.52
sh880670,光通信,3.1417361825315293,5.087942623841557,10.563150244173336,11.673004115905217,86.25,74.35,94.8,85.77
sh880682,华为海思,3.120823773879322,7.1604601318102645,10.889320839978755,9.217276051936164,85.87,95.54,95.54,72.66
sh880537,核电核能,3.071746981153356,3.9124220466617787,5.496798226932431,10.12381591143734,85.5,40.89,53.9,77.15
sh880661,6G概念,3.0543043132648995,5.6610423366667995,7.865977063188656,6.487490472631463,85.13,84.01,80.67,47.19
sh880731,新材料,3.023639362286956,6.057280054879088,7.13116387038657,11.552649379932344,84.76,88.48,74.72,84.27
sh880960,仿制药,3.022009053862651,2.3762034278806743,0.6493947471180483,7.495988177590007,84.39,13.38,6.69,57.68
sh880646,复合铜箔,3.02192832593009,12.515640434639463,16.926533824552603,16.016115707155887,84.01,100.0,99.63,96.25
sh880913,基因概念,3.010500036713415,4.565069003664002,3.070248365305428,5.642572350325392,83.64,60.59,26.02,36.33
sh880530,合成生物,3.001168505344176,4.175501407765303,1.5570597155273758,10.507734001954239,83.27,48.7,10.78,79.4
sh880606,辅助生殖,2.988860100794777,3.821950870077928,2.8831347537868313,5.813705338589936,82.9,39.03,23.05,37.45
sh880575,地热能,2.981811367114706,3.1074094150022935,6.101367658889778,5.619861185264274,82.53,23.79,63.94,35.96
sh880725,MiniLED,2.9738381978728246,6.838865096359736,10.700283643239828,7.341670028237179,82.16,94.05,95.17,55.43
sh880623,肝炎概念,2.940971920368618,3.0493695010834765,0.9996502929862539,6.110543577611693,81.78,23.05,7.81,41.95
sh880560,高端装备,2.933863267333914,4.621478222743325,6.783052926920008,7.868364511852577,81.41,62.45,72.12,61.05
sh880506,5G概念,2.932505424690901,5.9549363230652075,9.010114765407318,8.0805478819318,81.04,87.36,87.73,64.04
sh880557,生物疫苗,2.922335512526031,3.492795629999179,1.3807554226899832,7.978220729561936,80.67,30.86,10.04,62.17
sh880587,聚氨酯,2.9206964595018814,4.155051201907267,2.859400635885856,6.319329502420468,80.3,48.33,22.3,43.82
sh880593,婴童概念,2.9102311902304168,2.756126021003502,0.6445861619694293,12.818519957808249,79.93,18.59,6.32,90.64
sh880736,工业母机,2.909291867912245,5.247795353014517,5.602641289570798,3.526876151889491,79.55,76.95,55.76,17.23
sh880684,BC电池,2.894345145029953,7.823682071984672,9.624072173878284,-0.15172112443559982,79.18,97.03,91.08,2.25
sh880974,烟草概念,2.880298180412044,4.140413062742265,5.162058894573884,13.2868497622596,78.81,47.96,47.58,91.76
sh880547,玻璃基板,2.868772105935946,6.309570122544272,12.655238160674731,6.1186350177175886,78.44,91.82,97.4,42.32
sh880569,3D打印,2.868556593688809,5.377135441665315,8.544338565432973,10.291255632914442,78.07,78.81,85.13,78.28
sh880952,芯片,2.830106780102448,6.877663781069709,8.830650827451292,7.657638391377342,77.7,94.42,86.62,58.43
sh880964,特高压,2.8300807211204315,4.416069648850729,5.370640977070584,8.248659818652747,77.32,54.65,50.19,65.54
sh880582,风电,2.799334029404288,4.177254491825244,5.861766915888644,8.044335789371114,76.95,49.07,60.59,63.3
sh880740,新型烟草,2.7795552361000286,6.431994771621508,7.694992468496276,5.838282815518192,76.58,92.19,78.81,38.2
sh880604,PVDF概念,2.772980052005236,4.635838373688372,7.9806963666094966,11.70409184210255,76.21,63.57,81.41,86.14
sh880766,幽门螺杆菌,2.7518120190750617,2.3961625784623797,3.4717380058030933,10.288652873342773,75.84,13.75,29.74,77.9
sh880662,时空大数据,2.7238657204369465,4.55637437911891,6.506498230761593,7.543200601051825,75.46,59.85,68.4,58.05
sh880637,EDA概念,2.686515191085559,6.476742401675373,4.83579967115495,8.692166637486975,75.09,92.94,42.38,69.29
sh880599,民营医院,2.6833188417252796,3.3318485050961355,1.5837847137144756,6.136466384517747,74.72,28.25,11.15,43.07
sh880749,云游戏,2.677717564552129,5.9251633566393735,6.771685318767151,9.996213836571366,74.35,86.99,71.75,76.4
sh880741,代糖概念,2.668957055214727,3.2710972443005026,0.09282563135784017,11.953845824502828,73.98,27.51,4.46,87.27
sh880795,口罩防护,2.650396393595522,4.704956822949713,3.8581357787953685,8.433225125996291,73.61,64.68,33.83,66.67
sh880659,毫米波雷达,2.636933567971833,5.15610584067554,7.03466074052832,6.488078681415854,73.23,75.09,73.23,47.57
sh880706,分散染料,2.609000175100684,6.264559416367943,8.260974604573178,12.864275449279239,72.86,91.45,83.27,91.01
sh880614,绿色建筑,2.5970888445974394,4.491444623286633,2.275874525859467,7.865382580167224,72.49,56.88,17.1,60.67
sh880596,体育概念,2.596374163480708,2.741088375237255,3.0935702265878717,11.5958400700382,72.12,17.84,26.39,84.64
sh880945,OLED概念,2.537777723131396,7.092408054242871,8.727395992229582,5.838605486423543,71.75,95.17,86.25,38.58
sh880624,新型城镇,2.4958452636005157,4.003535220138565,2.9576218347110883,9.801587301587311,71.38,44.61,24.16,76.03
sh880558,节能环保,2.4554164125013322,4.488267927455825,4.5093022659975945,8.816344574483882,71.0,55.76,39.41,70.04
sh880621,NFT概念,2.426269137792114,3.439829432635677,6.013294301131777,16.44253494805885,70.63,29.74,61.71,97.38
sh880567,海南自贸,2.40393118654858,3.2835137521666447,2.4585981625399933,5.550187771174375,70.26,27.88,17.84,34.46
sh880561,折叠屏,2.39332746944525,6.057594291539248,9.490328139490511,7.800701972516877,69.89,88.85,90.33,59.55
sh880650,血氧仪,2.389552215264734,3.411417056288779,3.907994461740394,3.375188107617455,69.52,29.37,34.94,16.48
sh880707,宠物经济,2.3874939277380935,3.4977138073158276,0.8336862579015891,18.74082215059525,69.14,31.6,7.06,98.13
sh880598,博彩概念,2.3749262826813444,3.819269952944393,6.713369107232037,16.122154142026957,68.77,38.66,71.38,97.0
sh880590,网络游戏,2.341955198025314,3.5031655563408703,4.9600451398420065,7.444873746243608,68.4,31.97,43.49,57.3
sh880568,生物质能,2.3156813590015535,2.5839408146120846,1.6664876188429822,4.70421463886872,68.03,15.99,11.9,26.59
sh880704,工业大麻,2.3105574891616243,3.015063018751918,1.7167903063268763,7.726828515584816,67.66,22.3,13.01,58.8
