code,name,date,open,close,high,low,change,pct_change,volume,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60,volume_5d_avg
sh880685,液冷服务器,2025-02-26,1660.06,1679.05,1679.69,1648.38,1.143934556582293,1.5771515686820115,55556368.0,9.321691798838438,15.688841423502243,27.664023235833056,45.15738603452897,100.0,99.25,94.68,99.62,58993146.0
sh880675,减速器,2025-02-26,1639.68,1702.58,1732.23,1639.68,3.8361143637782895,4.107863519628219,69291547.0,8.888462522384222,18.47001683899967,28.731721332547,42.513476412093596,99.62,99.62,95.44,99.23,56845930.0
sh880631,一体压铸,2025-02-26,1048.77,1081.3,1092.06,1048.77,3.101728691705519,3.3609268357963407,27829253.0,6.702322919339232,13.930185756882896,19.649891559332524,21.684428489438545,99.25,98.5,78.33,85.38,24443489.6
sh880746,国资云,2025-02-26,1864.8700000000001,1876.01,1886.98,1835.47,0.5973606739343692,1.1587904147704053,38352603.0,6.655106739816374,12.202897163841664,32.270801164766524,24.830156036863272,98.87,97.37,97.34,91.15,49151076.0
sh880684,BC电池,2025-02-26,858.0,883.79,884.46,858.0,3.0058275058275017,3.7787250032291775,15563474.0,6.1227185398655015,8.671167017103798,15.02589999219095,-2.8278963397873613,98.5,86.84,61.22,5.0,10545356.0
sh880672,存储芯片,2025-02-26,1404.88,1427.38,1429.68,1381.77,1.6015602756107281,1.8734878276819522,27304400.0,6.013769951203574,10.915293221748223,18.997915798249277,17.747310763545187,98.12,95.49,75.29,73.08,27468711.6
sh880736,工业母机,2025-02-26,1334.27,1360.15,1375.14,1334.27,1.9396374047231904,2.1762646674379216,45623032.0,5.984337865741995,13.84485327351559,19.839116107772824,22.99811001691039,97.74,98.12,79.85,87.31,41326658.6
sh880637,EDA概念,2025-02-26,1106.39,1120.1200000000001,1120.42,1092.8700000000001,1.2409728938258675,1.5217568633137946,4587036.0,5.963597835547008,6.73908900323994,14.196580586622098,3.0023816748967924,97.37,69.55,58.56,26.54,4534116.0
sh880633,汽车热管理,2025-02-26,1430.66,1457.8,1471.6100000000001,1430.66,1.8970265471880021,2.317550779769517,38020263.0,5.902437252551662,11.919787492130762,19.263052833090644,26.789472768703583,96.99,96.62,76.81,94.62,33457026.4
sh880711,操作系统,2025-02-26,1509.51,1527.91,1531.46,1494.83,1.2189385959682342,1.4420491438663197,44186215.0,5.7604053464757055,9.086560429517942,27.82220958053776,19.775955598758266,96.62,89.85,95.06,80.38,43343252.2
sh880541,AI手机PC,2025-02-26,1450.3,1464.44,1466.78,1434.13,0.9749706957181341,1.1695946832837034,23930659.0,5.524690690820533,9.824214062874969,21.733347741876496,27.453437771975643,96.24,93.61,82.13,95.0,25646114.8
sh880697,飞行汽车,2025-02-26,1637.69,1654.04,1672.0900000000001,1633.8,0.9983574424952164,1.1039254758615558,32888651.0,5.509450330745613,9.797205350326932,21.64652756837855,22.940389475248992,95.86,92.86,81.75,86.92,27921511.2
sh880703,人形机器人,2025-02-26,1896.25,1946.66,1994.95,1896.25,2.6584047462096283,2.615653860751488,69707994.0,5.436878479970542,18.522442220111547,31.134134511748222,64.30422268925295,95.49,100.0,96.96,100.0,67968469.0
sh880799,数据中心,2025-02-26,1514.79,1531.0900000000001,1531.63,1504.44,1.0760567471398796,1.495495614936404,212859589.0,5.391805941793559,9.550589935675902,23.09281665795715,26.74481171513483,95.11,92.48,85.17,94.23,240945325.6
sh880607,东数西算,2025-02-26,1556.6200000000001,1575.03,1579.21,1543.93,1.182690701648434,1.7185259813228937,152669323.0,5.297535081796245,9.41279445374532,33.19492600422833,33.753694079282596,94.74,92.11,98.1,97.69,173680134.6
sh880726,MCU芯片,2025-02-26,1104.91,1123.8,1124.91,1092.0,1.7096415092631865,2.089389534883712,18499436.0,5.219793080848278,8.646892764608038,16.258379541504596,22.003647733194363,94.36,86.09,66.54,85.77,19268192.0
sh880758,汽车芯片,2025-02-26,841.12,852.62,853.4,831.95,1.3672246528438272,1.6100392082087023,29054321.0,5.194196318412869,7.3382599171628815,16.482915966501356,21.464491772918294,93.98,77.07,68.06,85.0,31074185.8
