code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880728,航运概念,8.607926629544703,10.035987669798384,8.876581585744937,12.21403324058059,100.0,100.0,95.13,98.5
sh880707,宠物经济,3.958981774576098,7.278170039307041,7.7261140095205905,13.474105656237079,99.63,93.26,90.64,99.25
sh880903,水产品,3.7454114408076,9.458587162625577,6.173201847068954,9.54255490956073,99.26,99.63,71.54,96.24
sh880941,跨境电商,3.393469709550523,8.451807016926471,8.56546512959162,4.239774735542556,98.88,97.75,94.38,80.45
sh880530,合成生物,2.879915574316838,5.514255603976204,4.913622203341839,8.026011392134391,98.51,75.28,50.19,94.74
sh880971,降解塑料,2.722885800315056,6.143242742051802,6.836658509270399,7.640310919804416,98.14,85.77,80.9,93.61
sh880975,有机硅概念,2.635350617191312,5.863731704862962,7.192846338921144,7.74593521552811,97.77,82.4,86.14,93.98
sh880745,NMN概念,2.4048807703733743,5.039799626901709,3.923702516287486,6.536307374546779,97.4,61.42,31.09,90.23
sh880587,聚氨酯,2.3201355649458133,4.29546925961668,8.47503709877422,4.220610386978807,97.03,34.08,93.63,80.08
sh880715,磷概念,2.2645300482550867,5.487224789344913,4.683390653449315,4.336283185840695,96.65,73.78,46.07,80.83
sh880501,含H股,2.1817994168795263,3.112974197411922,4.6337004079389565,2.5278179059809336,96.28,14.61,44.94,71.43
sh880593,婴童概念,2.173462192542197,6.491148433953708,5.601378695383774,7.229607960926687,95.91,89.89,63.3,92.48
sh880671,中特估,2.1362428694225333,3.3190387731710347,3.3588691741214927,1.893393100760088,95.54,16.1,24.72,69.55
sh880591,上海自贸,2.06545571390766,4.293012206427682,3.441917934178762,-0.42596545254219853,95.17,33.71,26.59,54.14
sh880515,通达信88,1.9677345858599926,3.6323397130465063,4.190954593887963,-1.623246238845466,94.8,21.35,38.2,46.99
sh880535,稀土永磁,1.87914248949963,8.46796081371004,7.008887018832333,9.77894048397645,94.42,98.13,84.27,96.62
sh880929,维生素,1.7774931967344365,3.335717071902211,3.7728827723082503,3.283343513236048,94.05,16.48,28.84,75.19
sh880610,中俄贸易,1.7478748179297066,7.196858039569287,8.077655985035225,5.95216672236647,93.68,92.88,91.76,87.59
sh880974,烟草概念,1.5859078202279386,5.764375178795755,6.830702355003049,3.776589902244365,93.31,80.15,80.52,78.57
sh880704,工业大麻,1.57337484401332,5.65376226096963,4.908317831517395,3.353754319824076,92.94,77.9,49.81,75.94
sh880717,C2M概念,1.566630819554593,5.90272505343814,8.020539825697416,11.862827955065613,92.57,83.15,91.39,98.12
sh880973,医美概念,1.564746155357688,5.3271699610678125,4.414485295681225,3.7427505994950483,92.19,70.41,42.32,78.2
sh880513,海峡西岸,1.53540071796201,5.914047797055866,8.20285236446001,5.44511889942636,91.82,83.52,92.88,85.71
sh880649,POE胶膜,1.5317256042972405,4.911469249114697,8.098890460942743,-0.24737847532398938,91.45,56.55,92.13,56.02
sh880764,鸡肉,1.4190558934260133,2.569209320852406,-4.491256395431298,10.7681018231506,91.08,9.36,0.37,97.74
sh880709,人造肉,1.4183928031448412,2.179252827601963,1.7134679719855495,-1.3874213258602386,90.71,6.37,10.49,48.87
sh880655,钙钛矿电池,1.4057686055332752,7.5782212367578206,4.239675340176641,-5.297630235819728,90.33,94.38,38.58,30.45
sh880766,幽门螺杆菌,1.3625243083871696,4.102722692540617,1.6904138556036674,-2.7610278630318397,89.96,30.34,9.36,42.11
sh880757,冷链物流,1.3383880882574362,4.532787559275264,4.010109366619075,4.596818431157423,89.59,43.45,34.46,82.71
sh880516,ST板块,1.3159215353904852,5.862269867163827,5.553554623508483,5.977113394846434,89.22,82.02,62.55,88.35
sh880584,石墨烯,1.306501090290868,6.227837308892203,7.190202762153675,2.2322094584514396,88.85,88.01,85.77,70.3
sh880727,盐湖提锂,1.3060677986732383,4.810598428369928,6.013476505279769,3.7406359455046223,88.48,52.43,68.91,77.82
sh880572,新零售,1.3038830293184311,4.755189972581264,3.4290723456917416,4.781639618304667,88.1,49.81,25.84,83.46
sh880623,肝炎概念,1.2406521303114593,3.401453445837177,0.31418567237626593,-2.7111861668930537,87.73,16.85,3.75,42.48
sh880791,网红经济,1.2343160257064056,4.974771782476695,3.2921510871488424,-3.4977683129613024,87.36,59.55,24.34,38.35
sh880626,粮食概念,1.2292214528697887,4.309509011808577,-3.9763365067740697,-4.141964520292884,86.99,34.83,0.75,36.09
sh880618,化肥概念,1.2166376991024075,3.0032103701011614,1.2190476190476307,0.19916327853395366,86.62,13.11,6.74,59.4
sh880976,新冠检测,1.2045542979918444,4.93623590085428,3.9569720561657196,-4.217436554319109,86.25,56.93,31.84,34.96
sh880594,一带一路,1.1915554979924803,3.2914538539844385,3.9308280678417074,-1.0983446768469851,85.87,15.73,31.46,50.38
sh880737,HJT电池,1.191396810053158,7.41486564484064,1.3604124809372786,-10.135098882939332,85.5,94.01,8.24,10.15
sh880920,免疫治疗,1.1739581717748804,5.063432281084301,4.004267948686491,0.5596992802172185,85.13,62.55,33.33,61.65
sh880571,碳纤维,1.136247365297649,6.812729630430092,11.528653796247191,10.113517367377423,84.76,92.13,99.25,96.99
sh880575,地热能,1.13547376664056,8.248304764122128,6.099815157116439,2.533906715183587,84.39,96.25,70.41,71.8
sh880666,可控核聚变,1.0987024918482025,8.39186810702579,5.04686937606611,13.299519802857551,84.01,97.0,52.81,98.87
sh880549,可燃冰,1.0949216087252855,4.1225125606090485,7.0762982739818625,8.02276176024279,83.64,31.09,85.02,94.36
sh880529,次新股,1.0719071013845616,4.82946588240365,1.9081131462921785,-6.044279658971319,83.27,53.18,11.61,27.44
sh880632,动力电池回收,1.0685807574510653,5.79918929988843,4.766366903959396,-1.0069907890737584,82.9,81.27,46.44,51.13
sh880597,养老概念,1.0643316654753487,5.5401703404569735,5.1758894897754315,-0.9839348992254582,82.53,75.66,55.81,51.5
sh880606,辅助生殖,1.0390465220150968,4.338010389862612,2.288223324884875,-5.184090357591931,82.16,36.33,15.36,31.2
sh880651,旅游概念,1.010594196222936,4.357136738714562,2.3303779748016895,1.6935476391426452,81.78,36.7,16.48,68.42
sh880795,口罩防护,0.9876310074591776,6.17806868344597,7.6434830450477165,3.785021638860697,81.41,86.14,89.89,78.95
sh880736,工业母机,0.9835101484937825,8.53820819055855,9.20760843186972,7.3383780227010975,81.04,98.5,96.25,92.86
sh880642,供销社,0.9693101199533594,3.7736998710280245,1.6462419925993732,0.002935880372656463,80.67,23.22,8.99,57.89
sh880605,装配式建筑,0.9678628314438553,5.064932532563771,6.273051813573716,2.306969325852304,80.3,62.92,75.28,70.68
sh880905,超导概念,0.9651413648234186,8.413821482048768,6.901098901098912,10.766643569521106,79.93,97.38,83.15,97.37
sh880599,民营医院,0.9594009594009689,4.474539919745402,2.8749041982457646,-2.8828220464338528,79.55,40.82,20.22,41.35
sh880592,互联金融,0.9116508398972156,5.640321201250309,5.52850630155215,-6.104045931701152,79.18,77.53,61.42,27.07
sh880731,新材料,0.9055558038707279,5.40873690304986,7.621753556309829,6.979168641128175,78.81,72.66,89.51,91.73
sh880638,TOPCon电池,0.9049612541195406,6.636168530441666,2.0392354668444135,-9.76390747467023,78.44,90.64,13.48,12.03
sh880913,基因概念,0.9040970000041559,4.060809685833711,1.8727797049358452,-4.144103755962691,78.07,28.46,11.24,35.71
sh880524,含可转债,0.8881321953448484,4.296577367346299,5.12722050273795,-1.0088372698477066,77.7,34.46,55.43,50.75
sh880761,锂矿,0.8805602995785256,4.873519782385616,5.547450041802593,-0.09465288768891744,77.32,55.06,62.17,56.77
sh880955,乡村振兴,0.8637194947705318,5.157119342176797,3.230311405529118,3.1307752430624225,76.95,65.92,23.6,74.44
sh880741,代糖概念,0.8178523115687009,5.060907369146017,4.105309177765215,8.99844815844415,76.58,62.17,36.33,95.49
sh880760,预制菜,0.8069545497495945,2.519651746074447,-2.0456882620831673,3.350932429159603,76.21,8.99,1.5,75.56
sh880567,海南自贸,0.8010963339035726,3.8342018000947276,-1.2426110149942438,-2.908398299078674,75.84,23.97,2.25,40.98
sh880557,生物疫苗,0.7045982925885541,3.549125849144774,0.8898939652772109,0.11761982286082606,75.46,19.85,5.62,58.65
sh880614,绿色建筑,0.6953694477948469,5.96324706142044,5.972603949358146,0.23072024387442713,75.09,85.02,68.54,59.77
sh880922,钛金属,0.6951968219573779,3.564187882070735,5.126895977503576,6.830354648424719,74.72,20.97,55.06,91.35
sh880747,AI医疗概念,0.6924260557360506,4.063963247636715,3.80209149302837,-8.19571335786966,74.35,28.84,29.96,18.8
sh880899,钴金属,0.6828361580462294,3.5389067353386316,4.008320665653242,0.9813314000155282,73.98,19.48,34.08,64.66
sh880719,地摊经济,0.6718585267848187,3.4721583300109327,3.166311626626994,-0.284219652040274,73.61,18.73,22.1,55.26
sh880744,汽车拆解,0.6616724341179436,6.196216877620198,6.479218833278022,3.041096157027612,73.23,86.89,76.4,74.06
sh880602,免税概念,0.6571604596551595,1.3649237962504834,-1.1963399884310055,0.6958214981152899,72.86,0.75,2.62,62.41
sh880951,新能源车,0.6518790100825012,4.949117294003402,6.383935145357178,-3.737210101477628,72.49,57.68,76.03,37.22
sh880718,小红书概念,0.6466277020131805,4.754593822117936,5.021297192642793,-10.122198749016187,72.12,49.44,52.06,10.53
sh880634,含GDR,0.6274664561957355,4.801896098202563,8.002371909810968,0.679117147707986,71.75,51.31,91.01,62.03
sh880750,天然气,0.601864379893069,4.052580274675965,4.96023053632797,4.947969901391058,71.38,28.09,51.31,84.21
sh880564,白酒概念,0.5963806363611379,3.8691427427810288,0.42221631799646,-0.645023036537018,71.0,25.84,4.12,53.01
sh880540,创投概念,0.5314860708847124,3.4449385902251217,4.298935140367854,-5.429470254480084,70.63,17.6,39.33,29.7
